sample-id,year,year_code,site,site_code,plot,pair,block,litter,removal,removal_held,elevation,disturbance_distance,disturbance_type,soil_moisture,summer_precip,summer_temp,snowpack,snowfall,plate_row,plate_column,project_id,ggbc_filename
EL15A,2024,A,Emerald Lake,EL,15,8,4,Control,C,,3207.14,4.18,Treeline,5.83,2.24,18.13,164,300.4,G,2,7160,7160_EL15A-ds.f732783ec749446693cae21b0315f6be
EL15B,2025,B,Emerald Lake,EL,15,8,4,Control,C,yes,3207.14,4.18,Treeline,3.04,1.0,19.74,90,226.0,G,7,7160,7160_EL15B-ds.90957539ebae43e48d7738af78514ecb
EL16A,2024,A,Emerald Lake,EL,16,8,4,Control,R,,3209.16,4.61,Treeline,7.13,2.24,18.13,164,300.4,H,2,7160,7160_EL16A-ds.9a7a2e4c658247f5912582a8692fd59f
EL16B,2025,B,Emerald Lake,EL,16,8,4,Control,R,yes,3209.16,4.61,Treeline,3.33,1.0,19.74,90,226.0,H,7,7160,7160_EL16B-ds.dca4e479dda449a1ad164e3f0442a2ea
EL17A,2024,A,Emerald Lake,EL,17,9,5,Mixed,C,,3208.28,3.12,Treeline,7.56,2.24,18.13,164,300.4,A,3,7160,7160_EL17A-ds.8e98a4cbd498407fbb3ee3dd5cebcae9
EL17B,2025,B,Emerald Lake,EL,17,9,5,Mixed,C,yes,3208.28,3.12,Treeline,3.99,1.0,19.74,90,226.0,A,8,7160,7160_EL17B-ds.35d56a286dc746b5a92f296d1a0c8c6b
EL18A,2024,A,Emerald Lake,EL,18,9,5,Mixed,R,,3207.11,4.35,Treeline,8.48,2.24,18.13,164,300.4,B,3,7160,7160_EL18A-ds.eb1e1f77bbf2413999932e8def03d48a
EL19A,2024,A,Emerald Lake,EL,19,10,5,Control,C,,3207.27,2.22,Treeline,8.79,2.24,18.13,164,300.4,C,3,7160,7160_EL19A-ds.a1170b5fec414e1bb9e53de7a4a32d42
EL19B,2025,B,Emerald Lake,EL,19,10,5,Control,C,yes,3207.27,2.22,Treeline,3.09,1.0,19.74,90,226.0,C,8,7160,7160_EL19B-ds.c79ddbd4188d4abfb62e596f5df315e1
EL20A,2024,A,Emerald Lake,EL,20,10,5,Control,R,,3207.81,2.57,Treeline,7.71,2.24,18.13,164,300.4,D,3,7160,7160_EL20A-ds.10e5496a00ca4267b866d588b0eb4348
EL20B,2025,B,Emerald Lake,EL,20,10,5,Control,R,yes,3207.81,2.57,Treeline,2.66,1.0,19.74,90,226.0,D,8,7160,7160_EL20B-ds.1cf070783105405da65c3ba53cdd9788
EL21A,2024,A,Emerald Lake,EL,21,11,3,Castilleja,C,,3211.66,9.25,Creek,7.05,2.24,18.13,164,300.4,E,3,7160,7160_EL21A-ds.60537fd2b6c84ed3bf664561fff72789
EL21B,2025,B,Emerald Lake,EL,21,11,3,Castilleja,C,yes,3211.66,9.25,Creek,3.3,1.0,19.74,90,226.0,E,8,7160,7160_EL21B-ds.4394f7ca734944dca7e90e9988a5da82
EL22A,2024,A,Emerald Lake,EL,22,11,3,Castilleja,R,,3211.1,5.93,Creek,6.68,2.24,18.13,164,300.4,F,3,7160,7160_EL22A-ds.6049e8e6ddba4b46bdaa52c2e8112a86
