year,deployment_period,plot,block,location,bag,missing,ups_missing ,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2025,Overwinter,27,1,4,C,no,no,8/16/24,6/17/25,303,Community,C,2.509,4.749,5,2.24,2.76
2025,Overwinter,27,1,1,A,no,yes,8/16/24,6/17/25,303,Community,C,2.484,,5,,
2025,Overwinter,28,1,3,A,no,no,8/16/24,6/17/25,303,Community,R,2.448,4.486,5,2.038,2.962
2025,Overwinter,28,1,4,B,no,no,8/16/24,6/17/25,303,Community,R,2.487,3.985,5,1.498,3.502
2025,Overwinter,28,1,7,C,no,no,8/16/24,6/17/25,303,Community,R,2.472,4.283,5,1.811,3.189
2025,Overwinter,29,1,5,A,no,no,8/16/24,6/17/25,303,Castilleja,C,2.487,4.443,5,1.956,3.044
2025,Overwinter,29,1,4,B,no,no,8/16/24,6/17/25,303,Castilleja,C,2.466,4.066,5,1.6,3.4
2025,Overwinter,29,1,6,C,no,no,8/16/24,6/17/25,303,Castilleja,C,2.449,4.429,5,1.98,3.02
2025,Overwinter,30,1,8,A,no,no,8/16/24,6/17/25,303,Castilleja,R,2.457,4.723,5,2.266,2.734
2025,Overwinter,30,1,6,B,no,no,8/16/24,6/17/25,303,Castilleja,R,2.466,4.337,5,1.871,3.129
2025,Overwinter,30,1,1,C,no,no,8/16/24,6/17/25,303,Castilleja,R,2.438,4.431,5,1.993,3.007
2025,Overwinter,30,1,,D,no,no,,6/17/25,,,,2.475,3.873,5,1.398,3.602
2025,Overwinter,33,4,1,A,no,no,8/16/24,6/17/25,303,Community,R,2.468,4.489,5,2.021,2.979
2025,Overwinter,33,4,2,B,no,no,8/16/24,6/17/25,303,Community,R,2.406,4.489,5,2.083,2.917
2025,Overwinter,33,4,5,C,no,no,8/16/24,6/17/25,303,Community,R,2.457,4.679,5,2.222,2.778
2025,Overwinter,34,4,9,A,no,no,8/16/24,6/17/25,303,Community,C,2.482,4.116,5,1.634,3.366
2025,Overwinter,34,4,6,B,no,yes,8/16/24,6/17/25,303,Community,C,2.475,,,,
2025,Overwinter,34,4,7,C,no,yes,8/16/24,6/17/25,303,Community,C,2.467,,,,
2025,Overwinter,35,5,8,A,no,no,8/16/24,6/17/25,303,Community,C,2.462,3.977,5,1.515,3.485
2025,Overwinter,35,5,7,B,no,yes,8/16/24,6/17/25,303,Community,C,2.471,,,,
2025,Overwinter,35,5,1,C,no,yes,8/16/24,6/17/25,303,Community,C,2.445,,,,
2025,Overwinter,36,5,4,A,no,no,8/16/24,6/17/25,303,Community,R,2.452,4.011,5,1.559,3.441
2025,Overwinter,36,5,6,C,no,no,8/16/24,6/17/25,303,Community,R,2.482,4.417,5,1.935,3.065
2025,Overwinter,36,5,9,B,no,yes,8/16/24,6/17/25,303,Community,R,2.529,,,,
2025,Overwinter,37,5,4,A,no,no,8/16/24,6/17/25,303,Castilleja,C,2.505,4.363,5,1.858,3.142
2025,Overwinter,37,5,3,B,no,no,8/16/24,6/17/25,303,Castilleja,C,2.502,4.861,5,2.359,2.641
2025,Overwinter,37,5,1,C,no,no,8/16/24,6/17/25,303,Castilleja,C,2.483,4.188,5,1.705,3.295
2025,Overwinter,38,5,2,A,no,no,8/16/24,6/17/25,303,Castilleja,R,2.491,4.559,5,2.068,2.932
2025,Overwinter,38,5,7,B,no,no,8/16/24,6/17/25,303,Castilleja,R,2.47,4.699,5,2.229,2.771
2025,Overwinter,38,5,6,C,no,no,8/16/24,6/17/25,303,Castilleja,R,2.493,4.098,5,1.605,3.395
2025,Overwinter,39,4,1,A,no,no,8/16/24,6/17/25,303,Mixed,R,2.473,4.677,5,2.204,2.796
2025,Overwinter,39,4,4,B,no,no,8/16/24,6/17/25,303,Mixed,R,2.551,4.769,5,2.218,2.782
2025,Overwinter,39,4,6,C,no,no,8/16/24,6/17/25,303,Mixed,R,2.49,4.006,5,1.516,3.484
2025,Overwinter,40,4,3,A,no,no,8/16/24,6/17/25,303,Mixed,C,2.505,5.304,5,2.799,2.201
2025,Overwinter,40,4,1,B,no,no,8/16/24,6/17/25,303,Mixed,C,2.531,4.627,5,2.096,2.904
2025,Overwinter,40,4,6,C,no,no,8/16/24,6/17/25,303,Mixed,C,2.517,4.269,5,1.752,3.248
