year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2025,year,28,1,9,C,,8/16/24,8/11/25,360,Community,R,2.39,3.958,5,1.568,3.432
2025,year,29,1,1,A,,8/16/24,8/11/25,360,Castilleja,C,2.407,4.394,5,1.987,3.013
2025,year,29,1,7,B,,8/16/24,8/11/25,360,Castilleja,C,2.383,3.772,5,1.389,3.611
2025,year,29,1,9,C,,8/16/24,8/11/25,360,Castilleja,C,2.44,4.52,5,2.08,2.92
2025,year,30,1,4,A,,8/16/24,8/11/25,360,Castilleja,R,2.39,4.594,5,2.204,2.796
2025,year,30,1,2,B,,8/16/24,8/11/25,360,Castilleja,R,2.37,2.901,5,0.531,4.469
2025,year,30,1,3,C,,8/16/24,8/11/25,360,Castilleja,R,2.389,4.212,5,1.823,3.177
2025,year,33,4,4,A,,8/16/24,8/11/25,360,Community,R,2.386,3.934,5,1.548,3.452
2025,year,33,4,6,B,,8/16/24,8/11/25,360,Community,R,2.365,4.08,5,1.715,3.285
2025,year,33,4,9,C,,8/16/24,8/11/25,360,Community,R,2.399,3.63,5,1.231,3.769
2025,year,34,4,2,A,,8/16/24,8/11/25,360,Community,C,2.398,4.062,5,1.664,3.336
2025,year,34,4,4,B,,8/16/24,8/11/25,360,Community,C,2.417,4.807,5,2.39,2.61
2025,year,34,4,5,C,,8/16/24,8/11/25,360,Community,C,2.367,4.123,5,1.756,3.244
2025,year,35,5,3,A,,8/16/24,8/11/25,360,Community,C,2.457,4.234,5,1.777,3.223
2025,year,35,5,2,B,,8/16/24,8/11/25,360,Community,C,2.374,3.851,5,1.477,3.523
2025,year,35,5,6,C,yes,8/16/24,8/11/25,360,Community,C,,,5,,
2025,year,36,5,2,A,,8/16/24,8/11/25,360,Community,R,2.397,3.647,5,1.25,3.75
2025,year,36,5,8,B,,8/16/24,8/11/25,360,Community,R,2.366,5.24,5,2.874,2.126
2025,year,36,5,7,C,,8/16/24,8/11/25,360,Community,R,2.356,3.919,5,1.563,3.437
