pot_number,replicate_id,species,type,plant_id,treatment,cross-treatment_group,pot_id,file_name,log_number,leaf_area,A,Ci,E,gsw
28,5,AGPU,host-parasite,ph,innoculated,4,5bi,2025-06-09 jca_Tkd,44,2.1868,1.310866966,367.4241335,0.009486028191,0.1482440016
29,5,AGPU,parasite,p,sterilized,5,5cs,2025-06-09 jca_Tkd,51,2.1868,0.5408098546,379.873348,0.01452199548,0.247250456
30,5,AGPU,parasite,p,innoculated,6,5ci,2025-06-09 jca_Tkd,48,2.1868,13.27268652,363.5573046,0.04109587403,1.044970142
31,6,HESU,host,h,sterilized,1,6as,2025-06-06 jca_Tkd,9,3.554,6.486931584,302.0370198,0.008684980043,0.1357652099
32,6,HESU,host,h,innoculated,2,6ai,2025-06-09 jca_Tkd,57,4.341,3.034930041,352.8382531,0.01003100879,0.1696180785
33,6,HESU,host-parasite,hp,sterilized,3,6bs,2025-06-09 jca_Tkd,54,4.912,1.917763738,372.1459122,0.01357526569,0.2602875655
33,6,AGPU,host-parasite,ph,sterilized,3,6bs,2025-06-09 jca_Tkd,53,2.1868,5.561854079,368.4057686,0.02575949726,0.5272762997
34,6,HESU,host-parasite,hp,innoculated,4,6bi,2025-06-09 jca_Tkd,47,5.21,2.67644677,339.1288959,0.006165134312,0.1005918542
34,6,AGPU,host-parasite,ph,innoculated,4,6bi,,,,,,,
35,6,AGPU,parasite,p,sterilized,5,6cs,2025-06-09 jca_Tkd,55,2.1868,12.33533021,352.70968,0.02951478693,0.6433028472
36,6,AGPU,parasite,p,innoculated,6,6ci,2025-06-09 jca_Tkd,56,2.1868,12.25096168,344.9473699,0.02682630118,0.5344322436
37,7,HESU,host,h,sterilized,1,7as,2025-06-06 jca_Tkd,10,3.937,6.089139658,298.8954783,0.007065425965,0.1184287896
38,7,HESU,host,h,innoculated,2,7ai,2025-06-09 jca_Tkd,60,3.859,4.015209396,354.9665393,0.01363279693,0.2414824998
39,7,HESU,host-parasite,hp,sterilized,3,7bs,2025-06-06 jca_Tkd,12,1.59,9.159834557,329.4323114,0.01972936626,0.3077414788
39,7,AGPU,host-parasite,ph,sterilized,3,7bs,2025-06-06 jca_Tkd,11,2.1868,5.617884184,340.8182245,0.01425339451,0.2324287275
40,7,HESU,host-parasite,hp,innoculated,4,7bi,2025-06-09 jca_Tkd,62,3.407,2.211896498,375.6703507,0.02217106586,0.4370469004
40,7,AGPU,host-parasite,ph,innoculated,4,7bi,2025-06-09 jca_Tkd,61,2.1868,8.075241823,346.5578607,0.02117400722,0.3743341263
41,7,AGPU,parasite,p,sterilized,5,7cs,2025-06-09 jca_Tkd,59,2.1868,3.558122495,357.710218,0.01376123571,0.2299126037
42,7,AGPU,parasite,p,innoculated,6,7ci,2025-06-09 jca_Tkd,58,2.1868,1.361288604,359.2555309,0.006144832983,0.09495860094
43,8,HESU,host,h,sterilized,1,8as,2025-06-09 jca_Tkd,73,6.001,2.65533454,367.8285002,0.0100505126,0.2212633128
44,8,HESU,host,h,innoculated,2,8ai,2025-06-09 jca_Tkd,72,5.862,7.553957292,347.6390183,0.01277681115,0.3265301971
45,8,HESU,host-parasite,hp,sterilized,3,8bs,2025-06-09 jca_Tkd,64,4.485,0.8131739469,377.4166859,0.01085696072,0.1951223193
45,8,AGPU,host-parasite,ph,sterilized,3,8bs,2025-06-09 jca_Tkd,63,2.1868,9.724367005,343.7748038,0.02077461199,0.3968749998
46,8,HESU,host-parasite,hp,innoculated,4,8bi,2025-06-09 jca_Tkd,76,2.567,0.4640294706,385.7771453,0.02329382381,0.4928141967
46,8,AGPU,host-parasite,ph,innoculated,4,8bi,2025-06-09 jca_Tkd,75,2.1868,5.49909733,368.4898785,0.02772875126,0.5660707213
47,8,AGPU,parasite,p,sterilized,5,8cs,,,,,,,
48,8,AGPU,parasite,p,innoculated,6,8ci,2025-06-09 jca_Tkd,74,2.1868,8.093822897,336.330264,0.01431859175,0.2694555165
49,9,HESU,host,h,sterilized,1,9as,2025-06-09 jca_Tkd,71,5.269,0.3544402427,372.9410823,0.002816967565,0.04744495712
50,9,HESU,host,h,innoculated,2,9ai,2025-06-09 jca_Tkd,65,3.657,0.4874487797,371.7442673,0.004308347242,0.06882789498
51,9,HESU,host-parasite,hp,sterilized,3,9bs,2025-06-09 jca_Tkd,70,2.375,4.083096721,370.3114508,0.02397660123,0.4707184751
51,9,AGPU,host-parasite,ph,sterilized,3,9bs,2025-06-09 jca_Tkd,69,2.1868,8.282747649,340.2187547,0.0156168411,0.298004139
52,9,HESU,host-parasite,hp,innoculated,4,9bi,2025-06-09 jca_Tkd,68,5.108,2.335989452,372.7491389,0.01433149414,0.2992307514
52,9,AGPU,host-parasite,ph,innoculated,4,9bi,2025-06-09 jca_Tkd,67,2.1868,6.29594907,355.4578002,0.01976064179,0.363829834
53,9,AGPU,parasite,p,sterilized,5,9cs,,,,,,,
54,9,AGPU,parasite,p,innoculated,6,9ci,2025-06-09 jca_Tkd,66,2.1868,4.151269527,368.6699616,0.01992010162,0.389794036
55,10,HESU,host,h,sterilized,1,10as,2025-06-09 jca_Tkd,83,4.794,3.916344301,345.1269269,0.007894058787,0.1561364533
56,10,HESU,host,h,innoculated,2,10ai,2025-06-09 jca_Tkd,84,2.809,8.517314055,350.813567,0.01744560442,0.3912293387
57,10,HESU,host-parasite,hp,sterilized,3,10bs,2025-06-09 jca_Tkd,80,3.782,3.058712589,379.8112346,0.01900435378,0.4893960192
57,10,AGPU,host-parasite,ph,sterilized,3,10bs,2025-06-09 jca_Tkd,79,2.1868,8.268434708,360.1573046,0.02337351409,0.5143291745
58,10,HESU,host-parasite,hp,innoculated,4,10bi,2025-06-09 jca_Tkd,82,4.869,1.512823278,375.4366507,0.0113976239,0.2320765128
58,10,AGPU,host-parasite,ph,innoculated,4,10bi,2025-06-09 jca_Tkd,81,2.1868,11.44135743,346.3045292,0.02396207705,0.4998741433
59,10,AGPU,parasite,p,sterilized,5,10cs,2025-06-09 jca_Tkd,78,2.1868,6.431849088,343.5197131,0.01350389028,0.2507693359
60,10,AGPU,parasite,p,innoculated,6,10ci,2025-06-09 jca_Tkd,77,2.1868,0.8285233488,381.8760076,0.01727200779,0.3294419788
61,11,HESU,host,h,sterilized,1,11as,2025-06-09 jca_Tkd,13,6.273,3.002815548,335.9867734,0.003927104002,0.08432858875
62,11,HESU,host,h,innoculated,2,11ai,2025-06-09 jca_Tkd,6,5.536,8.010709631,354.0779173,0.009354593045,0.3073538164
63,11,HESU,host-parasite,hp,sterilized,3,11bs,2025-06-09 jca_Tkd,10,4.894,0.5804005488,397.7452951,0.01239627522,0.3763635339
63,11,AGPU,host-parasite,ph,sterilized,3,11bs,2025-06-09 jca_Tkd,9,2.1868,6.6003522,383.3925619,0.0256344502,0.7667458963
64,11,HESU,host-parasite,hp,innoculated,4,11bi,2025-06-09 jca_Tkd,15,4.772,1.571789245,384.0459276,0.01198940839,0.2846534679
64,11,AGPU,host-parasite,ph,innoculated,4,11bi,2025-06-09 jca_Tkd,14,2.1868,15.33090422,362.1882617,0.03056719465,0.8765198981
65,11,AGPU,parasite,p,sterilized,5,11cs,2025-06-09 jca_Tkd,12,2.1868,8.037793351,391.5376733,0.03919867997,1.681644598
66,11,AGPU,parasite,p,innoculated,6,11ci,2025-06-09 jca_Tkd,11,2.1868,10.78200198,375.8304425,0.02883968336,0.8998206129
67,12,HESU,host,h,sterilized,1,12as,2025-06-09 jca_Tkd,4,7.237,9.668713596,344.3939743,0.008296428528,0.3142782829
68,12,HESU,host,h,innoculated,2,12ai,2025-06-09 jca_Tkd,5,5.651,7.769516659,355.3433821,0.00916040471,0.3045096513
69,12,HESU,host-parasite,hp,sterilized,3,12bs,2025-06-09 jca_Tkd,1,3.516,1.98533362,413.2230162,0.02543665012,3.732076375
69,12,AGPU,host-parasite,ph,sterilized,3,12bs,2025-06-09 jca_Tkd,2,2.1868,3.844843583,396.5360844,0.02134822253,0.7944419422
70,12,HESU,host-parasite,hp,innoculated,4,12bi,2025-06-09 jca_Tkd,17,4.104,2.633167436,385.807104,0.01831108378,0.5103444565
70,12,AGPU,host-parasite,ph,innoculated,4,12bi,2025-06-09 jca_Tkd,16,2.1868,6.296299838,391.7001306,0.04824644976,1.995574749
71,12,AGPU,parasite,p,sterilized,5,12cs,2025-06-09 jca_Tkd,8,2.1868,14.95857392,386.5762529,0.04111110248,2.065197878
72,12,AGPU,parasite,p,innoculated,6,12ci,2025-06-09 jca_Tkd,3,2.1868,7.099174923,385.4077229,0.02010862037,0.6959157751
