order,species,pot_id,biomass_type,type,treatment,estimated_biomass,lab_id,lab_sample_id,N,C,P,K
52,HESU,7bs,Above,host-parasite,sterilized,0.62,411548,HESU 7bs Above,0.76,40.23,0.109,1.61
53,AGPU,7bi,Above,host-parasite,innoculated,0.71,411549,AGPU 7bi Above,1.12,38.17,,
54,HESU,7bi,Above,host-parasite,innoculated,0.69,411550,HESU 7bi Above,0.83,40.42,0.189,2.15
55,AGPU,7cs,Above,parasite,sterilized,0.20,411551,AGPU 7cs Above,2.96,42.80,,
56,AGPU,7ci,Above,parasite,innoculated,0.42,411552,AGPU 7ci Above,1.26,42.58,0.404,2.36
57,HESU,8as,Above,host,sterilized,0.43,411553,HESU 8as Above,0.88,39.81,0.189,2.29
58,HESU,8ai,Above,host,innoculated,0.58,411554,HESU 8ai Above,0.89,40.22,0.258,2.51
59,AGPU,8bs,Above,host-parasite,sterilized,1.11,411555,AGPU 8bs Above,1.15,39.60,0.366,3.48
60,HESU,8bs,Above,host-parasite,sterilized,0.49,411556,HESU 8bs Above,0.73,41.11,0.121,2.02
61,AGPU,8bi,Above,host-parasite,innoculated,0.63,411557,AGPU 8bi Above,1.22,39.32,,
62,HESU,8bi,Above,host-parasite,innoculated,0.67,411558,HESU 8bi Above,0.74,40.19,0.187,1.58
63,AGPU,8cs,Above,parasite,sterilized,0.16,,,,,,
64,AGPU,8ci,Above,parasite,innoculated,0.44,411560,AGPU 8ci Above,1.33,42.37,,
65,HESU,9as,Above,host,sterilized,1.12,411561,HESU 9as Above,1.03,40.01,0.173,2.66
66,HESU,9ai,Above,host,innoculated,0.53,411562,HESU 9ai Above,0.97,39.78,0.297,2.49
67,AGPU,9bs,Above,host-parasite,sterilized,1.11,411563,AGPU 9bs Above,1.28,39.17,0.457,2.95
68,HESU,9bs,Above,host-parasite,sterilized,0.52,411564,HESU 9bs Above,0.69,40.68,0.168,1.99
69,AGPU,9bi,Above,host-parasite,innoculated,0.37,411565,AGPU 9bi Above,1.65,39.27,,
70,HESU,9bi,Above,host-parasite,innoculated,1.01,411566,HESU 9bi Above,0.88,40.16,0.259,1.95
71,AGPU,9cs,Above,parasite,sterilized,0.05,,,,,,
72,AGPU,9ci,Above,parasite,innoculated,0.58,411568,AGPU 9ci Above,1.85,42.46,,
73,HESU,10as,Above,host,sterilized,0.35,411569,HESU 10as Above,1.08,40.76,0.218,2.94
74,HESU,10ai,Above,host,innoculated,0.42,411570,HESU 10ai Above,1.05,39.27,0.317,3.10
75,AGPU,10bs,Above,host-parasite,sterilized,1.27,411571,AGPU 10bs Above,1.68,37.93,,
76,HESU,10bs,Above,host-parasite,sterilized,0.67,411572,HESU 10bs Above,0.84,40.80,0.173,2.27
77,AGPU,10bi,Above,host-parasite,innoculated,0.22,411573,AGPU 10bi Above,1.19,37.82,,
78,HESU,10bi,Above,host-parasite,innoculated,0.93,411574,HESU 10bi Above,0.85,40.76,0.178,2.33
79,AGPU,10cs,Above,parasite,sterilized,0.11,411575,AGPU 10cs Above,1.79,42.87,0.210,2.04
80,AGPU,10ci,Above,parasite,innoculated,0.49,411576,AGPU 10ci Above,1.38,43.06,0.148,1.56
81,HESU,11as,Above,host,sterilized,0.56,411577,HESU 11as Above,1.30,40.60,0.222,3.16
82,HESU,11ai,Above,host,innoculated,0.57,411578,HESU 11ai Above,1.03,40.65,0.275,2.71
83,AGPU,11bs,Above,host-parasite,sterilized,1.54,411579,AGPU 11bs Above,1.32,40.01,,
84,HESU,11bs,Above,host-parasite,sterilized,0.72,411580,HESU 11bs Above,0.90,40.32,0.145,1.97
85,AGPU,11bi,Above,host-parasite,innoculated,0.34,411581,AGPU 11bi Above,1.17,37.63,,
86,HESU,11bi,Above,host-parasite,innoculated,0.59,411582,HESU 11bi Above,0.98,40.77,0.247,2.66
87,AGPU,11cs,Above,parasite,sterilized,0.46,411583,AGPU 11cs Above,2.19,42.53,,
88,AGPU,11ci,Above,parasite,innoculated,0.38,411584,AGPU 11ci Above,2.29,41.98,,
89,HESU,12as,Above,host,sterilized,1.50,411585,HESU 12as Above,1.44,41.10,0.203,2.84
90,HESU,12ai,Above,host,innoculated,0.63,411586,HESU 12ai Above,1.18,40.47,0.290,2.89
91,AGPU,12bs,Above,host-parasite,sterilized,0.22,411587,AGPU 12bs Above,1.26,39.62,0.275,2.65
92,HESU,12bs,Above,host-parasite,sterilized,0.48,411588,HESU 12bs Above,0.87,40.68,0.114,1.95
93,AGPU,12bi,Above,host-parasite,innoculated,0.15,411589,AGPU 12bi Above,1.28,38.44,,
94,HESU,12bi,Above,host-parasite,innoculated,0.70,411590,HESU 12bi Above,0.83,40.15,0.200,2.76
95,AGPU,12cs,Above,parasite,sterilized,0.48,411591,AGPU 12cs Above,1.90,41.97,,
96,AGPU,12ci,Above,parasite,innoculated,0.43,411592,AGPU 12ci Above,2.33,43.76,,
97,HESU,1as,Below,host,sterilized,1.41,411593,HESU 1as Below,0.52,39.19,0.167,2.29
98,HESU,1ai,Below,host,innoculated,2.06,411594,HESU 1ai Below,0.51,40.81,0.124,2.09
99,AGPU,1bs,Below,host-parasite,sterilized,0.24,411595,AGPU 1bs Below,0.90,40.32,,
100,HESU,1bs,Below,host-parasite,sterilized,1.16,411596,HESU 1bs Below,0.48,40.37,0.100,2.29
101,AGPU,1bi,Below,host-parasite,innoculated,0.49,411597,AGPU 1bi Below,1.12,39.27,,
102,HESU,1bi,Below,host-parasite,innoculated,0.63,411598,HESU 1bi Below,0.63,40.00,0.187,2.72
103,AGPU,1cs,Below,parasite,sterilized,0.50,411599,AGPU 1cs Below,1.87,41.24,,
104,AGPU,1ci,Below,parasite,innoculated,0.64,411600,AGPU 1ci Below,1.67,41.85,,
105,HESU,2as,Below,host,sterilized,0.07,411601,HESU 2as Below,0.50,39.78,0.165,2.46
106,HESU,2ai,Below,host,innoculated,0.09,411602,HESU 2ai Below,0.47,39.98,0.170,1.99
107,AGPU,2bs,Below,host-parasite,sterilized,1.89,411603,AGPU 2bs Below,0.77,40.46,,
108,HESU,2bs,Below,host-parasite,sterilized,1.46,411604,HESU 2bs Below,0.48,40.27,0.157,2.57
109,AGPU,2bi,Below,host-parasite,innoculated,0.24,411605,AGPU 2bi Below,0.79,42.04,,
110,HESU,2bi,Below,host-parasite,innoculated,1.61,,,,,,
111,AGPU,2cs,Below,parasite,sterilized,1.14,411607,AGPU 2cs Below,1.48,42.59,,
