pot_number,replicate_id,species,type,treatment,cross-treatment_group,pot_id,t1,t2,t3,t4,t5,t6,t7,t8
51,9,HESU,host-parasite,sterilized,3,9bs,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6
51,9,AGPU,host-parasite,sterilized,3,9bs,0.6,1.5,3.5,5.5,8.3,14.5,20.2,26
52,9,HESU,host-parasite,innoculated,4,9bi,0.4,0.6,0.6,0.6,0.6,0.6,0.7,0.7
52,9,AGPU,host-parasite,innoculated,4,9bi,0.5,0.7,1.2,2,3.5,4.3,8.4,12.5
53,9,AGPU,parasite,sterilized,5,9cs,0.3,0.5,1,1.5,2.3,2.4,2.5,3.2
54,9,AGPU,parasite,innoculated,6,9ci,0.4,1.2,1.9,3,5,8.0,10.5,16.5
55,10,HESU,host,sterilized,1,10as,0.3,0.4,0.6,0.7,0.7,0.7,0.8,0.8
56,10,HESU,host,innoculated,2,10ai,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.6
57,10,HESU,host-parasite,sterilized,3,10bs,0.4,0.5,0.5,0.7,0.8,0.8,1.7,2.7
57,10,AGPU,host-parasite,sterilized,3,10bs,0.5,1,1.6,3.2,5,7.3,10.2,15.5
58,10,HESU,host-parasite,innoculated,4,10bi,0.4,0.7,0.7,0.7,0.7,0.7,0.5,0.7
58,10,AGPU,host-parasite,innoculated,4,10bi,0.5,0.9,2,4,7,10.8,16.7,21
59,10,AGPU,parasite,sterilized,5,10cs,0.5,1,1.8,3.5,6.5,10.5,17.2,22
60,10,AGPU,parasite,innoculated,6,10ci,0.7,1.6,2.9,4.6,8,12.3,17.6,20.1
61,11,HESU,host,sterilized,1,11as,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.8
62,11,HESU,host,innoculated,2,11ai,0.3,0.4,0.6,0.6,0.6,0.6,0.6,0.6
63,11,HESU,host-parasite,sterilized,3,11bs,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.6
63,11,AGPU,host-parasite,sterilized,3,11bs,0.4,1,2.5,4.5,7.5,12.2,17.5,24
64,11,HESU,host-parasite,innoculated,4,11bi,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.8
64,11,AGPU,host-parasite,innoculated,4,11bi,0.4,1.1,2,3.5,5,8.8,13,17
65,11,AGPU,parasite,sterilized,5,11cs,0.5,0.6,1.5,3.5,5.8,9.4,14.7,21.5
66,11,AGPU,parasite,innoculated,6,11ci,0.6,0.7,1.5,2.3,4.3,6.8,10.2,15
67,12,HESU,host,sterilized,1,12as,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.8
68,12,HESU,host,innoculated,2,12ai,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.7
69,12,HESU,host-parasite,sterilized,3,12bs,0.3,0.4,0.5,0.5,0.5,0.6,1.2,1.2
69,12,AGPU,host-parasite,sterilized,3,12bs,0.6,1.4,2.1,4,7.5,12.1,18.5,24.4
70,12,HESU,host-parasite,innoculated,4,12bi,0.4,0.7,0.6,0.6,0.7,0.8,0.8,0.8
70,12,AGPU,host-parasite,innoculated,4,12bi,0.7,2.3,2.4,3.1,5.6,10.2,14.1,20.4
71,12,AGPU,parasite,sterilized,5,12cs,0.6,1.3,1.9,3.2,5.7,9.1,14.3,21.1
72,12,AGPU,parasite,innoculated,6,12ci,0.7,1.5,2.4,3.5,5.5,7.8,11.2,15.8
