pot_number,replicate_id,species,type,treatment,cross-treatment_group,pot_id,t1,t2,t3,t4,t5,t6,t7,t8
35,6,AGPU,parasite,sterilized,5,6cs,4,8,8,14,18,33,88,96
36,6,AGPU,parasite,innoculated,6,6ci,5,10,12,18,34,72,126,124
37,7,HESU,host,sterilized,1,7as,8,18,19,26,28,32,30,33
38,7,HESU,host,innoculated,2,7ai,8,18,19,23,23,25,22,22
39,7,HESU,host-parasite,sterilized,3,7bs,9,20,27,28,24,31,22,22
39,7,AGPU,host-parasite,sterilized,3,7bs,6,10,16,46,54,87,132,158
40,7,HESU,host-parasite,innoculated,4,7bi,8,13,13,13,15,15,16,13
40,7,AGPU,host-parasite,innoculated,4,7bi,6,10,14,20,38,70,114,126
41,7,AGPU,parasite,sterilized,5,7cs,4,6,8,12,14,34,60,62
42,7,AGPU,parasite,innoculated,6,7ci,6,8,12,18,32,92,140,122
43,8,HESU,host,sterilized,1,8as,8,13,14,22,24,29,29,30
44,8,HESU,host,innoculated,2,8ai,8,12,12,12,11,11,13,12
45,8,HESU,host-parasite,sterilized,3,8bs,8,17,19,23,26,28,18,20
45,8,AGPU,host-parasite,sterilized,3,8bs,4,10,12,40,68,85,176,198
46,8,HESU,host-parasite,innoculated,4,8bi,12,15,18,18,18,19,18,15
46,8,AGPU,host-parasite,innoculated,4,8bi,5,10,13,15,30,64,110,126
47,8,AGPU,parasite,sterilized,5,8cs,3,6,6,8,8,8,12,12
48,8,AGPU,parasite,innoculated,6,8ci,4,9,16,18,38,78,114,122
49,9,HESU,host,sterilized,1,9as,8,13,18,20,23,36,34,32
50,9,HESU,host,innoculated,2,9ai,9,13,14,17,15,18,19,19
51,9,HESU,host-parasite,sterilized,3,9bs,12,26,30,38,38,42,38,36
51,9,AGPU,host-parasite,sterilized,3,9bs,6,9,12,20,36,86,130,132
52,9,HESU,host-parasite,innoculated,4,9bi,13,19,20,20,17,18,18,17
52,9,AGPU,host-parasite,innoculated,4,9bi,4,8,7,10,12,13,24,34
53,9,AGPU,parasite,sterilized,5,9cs,2,6,10,10,8,8,19,12
54,9,AGPU,parasite,innoculated,6,9ci,5,10,12,14,20,42,84,90
55,10,HESU,host,sterilized,1,10as,8,25,18,30,36,38,47,53
56,10,HESU,host,innoculated,2,10ai,9,17,23,23,26,25,28,30
57,10,HESU,host-parasite,sterilized,3,10bs,8,16,21,22,24,26,26,30
57,10,AGPU,host-parasite,sterilized,3,10bs,2,10,10,17,18,26,55,60
58,10,HESU,host-parasite,innoculated,4,10bi,9,22,23,26,18,20,22,20
58,10,AGPU,host-parasite,innoculated,4,10bi,4,6,11,14,20,49,70,62
59,10,AGPU,parasite,sterilized,5,10cs,6,8,10,16,28,76,118,136
60,10,AGPU,parasite,innoculated,6,10ci,6,10,11,20,36,112,162,150
61,11,HESU,host,sterilized,1,11as,5,9,14,25,36,51,59,66
62,11,HESU,host,innoculated,2,11ai,8,16,16,17,20,21,24,26
63,11,HESU,host-parasite,sterilized,3,11bs,6,9,12,14,10,13,15,12
63,11,AGPU,host-parasite,sterilized,3,11bs,6,9,10,14,32,78,114,1118
64,11,HESU,host-parasite,innoculated,4,11bi,9,17,21,23,22,19,24,25
64,11,AGPU,host-parasite,innoculated,4,11bi,6,8,12,14,16,38,62,54
65,11,AGPU,parasite,sterilized,5,11cs,4,7,9,12,16,60,70,72
66,11,AGPU,parasite,innoculated,6,11ci,4,7,8,12,18,34,84,88
67,12,HESU,host,sterilized,1,12as,5,8,9,15,22,35,43,54
68,12,HESU,host,innoculated,2,12ai,6,10,14,16,17,18,20,25
69,12,HESU,host-parasite,sterilized,3,12bs,5,8,9,13,10,12,13,13
69,12,AGPU,host-parasite,sterilized,3,12bs,4,10,10,18,32,70,118,148
70,12,HESU,host-parasite,innoculated,4,12bi,11,25,25,30,28,28,31,33
70,12,AGPU,host-parasite,innoculated,4,12bi,6,10,10,12,18,34,74,100
71,12,AGPU,parasite,sterilized,5,12cs,4,8,10,14,22,53,120,130
72,12,AGPU,parasite,innoculated,6,12ci,4,8,11,16,20,62,102,120
