bites,replicate_id,type,treatment,cross-treatment_group,root_type,pot_id,slide_id,views,blue,hyphae,extraradical,vesicle,arbuscule,spore,dse,microsclerotia,prop_total,prop_hyphae,prop_extra,prop_vesicle,prop_arb,prop_spore,prop_dse,prop_microsclerotia
45,8,host-parasite,sterilized,3,host,8bs,69,71,4,2,0,0,0,0,0,0,0.056,0.028,0.000,0.000,0.000,0.000,0.000,0.000
39,7,host-parasite,sterilized,3,host,7bs,32,71,10,6,4,0,0,0,0,0,0.141,0.085,0.056,0.000,0.000,0.000,0.000,0.000
57,10,host-parasite,sterilized,3,host,10bs,52,89,20,12,1,1,0,0,0,2,0.225,0.135,0.011,0.011,0.000,0.000,0.000,0.022
33,6,host-parasite,sterilized,3,host,6bs,65,97,16,4,5,0,1,0,0,0,0.165,0.041,0.052,0.000,0.010,0.000,0.000,0.000
15,3,host-parasite,sterilized,3,host,3bs,36,98,10,4,4,0,0,0,0,1,0.102,0.041,0.041,0.000,0.000,0.000,0.000,0.010
51,9,host-parasite,sterilized,3,host,9bs,21,100,7,3,1,1,0,0,0,0,0.070,0.030,0.010,0.010,0.000,0.000,0.000,0.000
27,5,host-parasite,sterilized,3,host,5bs,161,100,18,0,10,0,0,0,0,0,0.180,0.000,0.100,0.000,0.000,0.000,0.000,0.000
9,2,host-parasite,sterilized,3,host,2bs,57,58,12,11,3,0,0,0,0,0,0.207,0.190,0.052,0.000,0.000,0.000,0.000,0.000
21,4,host-parasite,sterilized,3,host,4bs,162,61,2,2,0,0,0,0,0,0,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000
63,11,host-parasite,sterilized,3,host,11bs,143,50,2,1,1,0,1,0,0,0,0.040,0.020,0.020,0.000,0.020,0.000,0.000,0.000
69,12,host-parasite,sterilized,3,host,12bs,20,69,7,6,1,0,0,0,0,0,0.101,0.087,0.014,0.000,0.000,0.000,0.000,0.000
21,4,host-parasite,sterilized,3,host parasite,4bs,158,67,10,6,5,0,0,0,1,0,0.149,0.090,0.075,0.000,0.000,0.000,0.015,0.000
39,7,host-parasite,sterilized,3,host parasite,7bs,45,69,15,8,4,0,0,0,1,0,0.217,0.116,0.058,0.000,0.000,0.000,0.014,0.000
39,7,host-parasite,sterilized,3,host parasite,7bs,30,81,31,9,9,1,0,0,0,0,0.383,0.111,0.111,0.012,0.000,0.000,0.000,0.000
15,3,host-parasite,sterilized,3,host parasite,3bs,60,90,27,17,7,2,0,0,0,0,0.300,0.189,0.078,0.022,0.000,0.000,0.000,0.000
33,6,host-parasite,sterilized,3,host parasite,6bs,164,100,5,2,3,0,0,0,0,0,0.050,0.020,0.030,0.000,0.000,0.000,0.000,0.000
45,8,host-parasite,sterilized,3,host parasite,8bs,24,100,7,3,2,1,0,0,0,0,0.070,0.030,0.020,0.010,0.000,0.000,0.000,0.000
9,2,host-parasite,sterilized,3,host parasite,2bs,37,100,8,3,3,0,0,0,0,0,0.080,0.030,0.030,0.000,0.000,0.000,0.000,0.000
9,2,host-parasite,sterilized,3,host parasite,2bs,148,100,10,2,6,0,0,0,0,0,0.100,0.020,0.060,0.000,0.000,0.000,0.000,0.000
15,3,host-parasite,sterilized,3,host parasite,3bs,153,100,12,2,4,0,0,0,0,0,0.120,0.020,0.040,0.000,0.000,0.000,0.000,0.000
33,6,host-parasite,sterilized,3,host parasite,6bs,74,100,18,11,5,0,0,0,0,0,0.180,0.110,0.050,0.000,0.000,0.000,0.000,0.000
27,5,host-parasite,sterilized,3,host parasite,5bs,97,100,20,7,8,1,0,0,0,0,0.200,0.070,0.080,0.010,0.000,0.000,0.000,0.000
3,1,host-parasite,sterilized,3,host parasite,1bs,62,73,15,7,8,1,0,0,1,2,0.205,0.096,0.110,0.014,0.000,0.000,0.014,0.027
3,1,host-parasite,sterilized,3,host parasite,1bs,98,56,8,5,4,0,0,0,0,0,0.143,0.089,0.071,0.000,0.000,0.000,0.000,0.000
21,4,host-parasite,sterilized,3,host parasite,4bs,147,100,20,9,13,0,1,0,0,0,0.200,0.090,0.130,0.000,0.010,0.000,0.000,0.000
27,5,host-parasite,sterilized,3,host parasite,5bs,150,100,19,11,16,0,0,0,0,0,0.190,0.110,0.160,0.000,0.000,0.000,0.000,0.000
45,8,host-parasite,sterilized,3,host parasite,8bs,110,100,10,6,6,0,0,0,0,0,0.100,0.060,0.060,0.000,0.000,0.000,0.000,0.000
51,9,host-parasite,sterilized,3,host parasite,9bs,95,79,20,13,11,0,1,0,1,0,0.253,0.165,0.139,0.000,0.013,0.000,0.013,0.000
51,9,host-parasite,sterilized,3,host parasite,9bs,77,100,18,6,17,0,1,0,0,0,0.180,0.060,0.170,0.000,0.010,0.000,0.000,0.000
57,10,host-parasite,sterilized,3,host parasite,10bs,78,96,25,17,11,0,0,0,0,0,0.260,0.177,0.115,0.000,0.000,0.000,0.000,0.000
57,10,host-parasite,sterilized,3,host parasite,10bs,146,48,8,7,1,0,0,0,0,0,0.167,0.146,0.021,0.000,0.000,0.000,0.000,0.000
63,11,host-parasite,sterilized,3,host parasite,11bs,131,61,7,3,5,0,0,0,0,0,0.115,0.049,0.082,0.000,0.000,0.000,0.000,0.000
63,11,host-parasite,sterilized,3,host parasite,11bs,132,58,5,1,5,0,0,0,0,0,0.086,0.017,0.086,0.000,0.000,0.000,0.000,0.000
69,12,host-parasite,sterilized,3,host parasite,12bs,55,94,8,3,7,0,0,0,0,0,0.085,0.032,0.074,0.000,0.000,0.000,0.000,0.000
69,12,host-parasite,sterilized,3,host parasite,12bs,124,87,11,7,6,0,0,0,0,1,0.126,0.080,0.069,0.000,0.000,0.000,0.000,0.011
33,6,host-parasite,sterilized,3,parasite,6bs,154,72,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,3,host-parasite,sterilized,3,parasite,3bs,122,100,2,0,0,0,0,0,0,0,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,4,host-parasite,sterilized,3,parasite,4bs,133,100,5,2,0,0,0,0,0,1,0.050,0.020,0.000,0.000,0.000,0.000,0.000,0.010
27,5,host-parasite,sterilized,3,parasite,5bs,145,100,7,0,0,0,0,0,0,0,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,10,host-parasite,sterilized,3,parasite,10bs,22,100,9,1,2,0,0,0,0,0,0.090,0.010,0.020,0.000,0.000,0.000,0.000,0.000
3,1,host-parasite,sterilized,3,parasite,1bs,68,100,5,5,0,0,0,0,0,0,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000
9,2,host-parasite,sterilized,3,parasite,2bs,152,100,12,5,7,0,0,0,0,0,0.120,0.050,0.070,0.000,0.000,0.000,0.000,0.000
39,7,host-parasite,sterilized,3,parasite,7bs,136,71,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,8,host-parasite,sterilized,3,parasite,8bs,101,89,7,1,0,0,0,0,0,0,0.079,0.011,0.000,0.000,0.000,0.000,0.000,0.000
51,9,host-parasite,sterilized,3,parasite,9bs,121,100,6,2,5,0,0,0,0,0,0.060,0.020,0.050,0.000,0.000,0.000,0.000,0.000
63,11,host-parasite,sterilized,3,parasite,11bs,134,66,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,12,host-parasite,sterilized,3,parasite,12bs,26,70,1,1,0,0,0,0,0,0,0.014,0.014,0.000,0.000,0.000,0.000,0.000,0.000
36,6,parasite,innoculated,6,parasite,6ci,61,78,1,0,0,0,0,0,0,1,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.013
6,1,parasite,innoculated,6,parasite,1ci,49,100,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,2,parasite,innoculated,6,parasite,2ci,107,100,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,3,parasite,innoculated,6,parasite,3ci,103,100,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,4,parasite,innoculated,6,parasite,4ci,76,72,3,1,0,0,0,0,1,0,0.042,0.014,0.000,0.000,0.000,0.000,0.014,0.000
30,5,parasite,innoculated,6,parasite,5ci,88,82,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,7,parasite,innoculated,6,parasite,7ci,83,55,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,8,parasite,innoculated,6,parasite,8ci,119,55,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,9,parasite,innoculated,6,parasite,9ci,135,96,4,0,0,0,0,0,0,4,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.042
60,10,parasite,innoculated,6,parasite,10ci,106,84,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,11,parasite,innoculated,6,parasite,11ci,87,100,2,2,1,0,0,0,0,0,0.020,0.020,0.010,0.000,0.000,0.000,0.000,0.000
72,12,parasite,innoculated,6,parasite,12ci,120,82,1,0,0,0,0,0,1,0,0.012,0.000,0.000,0.000,0.000,0.000,0.012,0.000
35,6,parasite,sterilized,5,parasite,6cs,100,100,1,0,0,1,0,0,0,0,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000
5,1,parasite,sterilized,5,parasite,1cs,123,40,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,2,parasite,sterilized,5,parasite,2cs,138,43,5,0,0,0,0,0,0,3,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.070
17,3,parasite,sterilized,5,parasite,3cs,51,100,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,4,parasite,sterilized,5,parasite,4cs,163,100,4,0,0,0,0,0,4,0,0.040,0.000,0.000,0.000,0.000,0.000,0.040,0.000
29,5,parasite,sterilized,5,parasite,5cs,67,100,3,0,0,0,3,0,0,0,0.030,0.000,0.000,0.000,0.030,0.000,0.000,0.000
41,7,parasite,sterilized,5,parasite,7cs,105,67,1,0,0,0,0,0,1,0,0.015,0.000,0.000,0.000,0.000,0.000,0.015,0.000
47,8,parasite,sterilized,5,parasite,8cs,42,17,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,9,parasite,sterilized,5,parasite,9cs,56,24,2,0,0,0,0,1,1,0,0.083,0.000,0.000,0.000,0.000,0.042,0.042,0.000
59,10,parasite,sterilized,5,parasite,10cs,31,75,0,0,0,0,0,0,4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.067
65,11,parasite,sterilized,5,parasite,11cs,85,100,1,0,0,0,1,0,0,0,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.000
71,12,parasite,sterilized,5,parasite,12cs,73,70,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
