"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0003a200-9aab-4bf1-a67e-23566e4034b6","https://specieslink.net/guid/220/224076","224076","orobanchaceae","esterhazya","esterhazya eitenorum","brasil","rio de janeiro",-44.677806,-22.3865,"2025-03-27","2025","03","27","pezzi, ph; latvis, m","253f90be-3b94-469c-820c-cb727b85bdd4"
"0003ae14-9720-4091-af63-1b044e34d731","45d60ddc-4bea-46d4-9538-7cdb639ad1a4","v0091491f","orobanchaceae","pedicularis","pedicularis dolichoglossa","china","yunnan",100.0767,27.3778,"2006-07-23","2006","7","23","d. e. boufford et al.","205fa34c-2fcb-4492-b992-972b18560f6f"
"0003d2f9-36ab-4eeb-9bc8-e887f95dcfcd","urn:catalog:o:v:217130","217130","orobanchaceae","castilleja","castilleja caudata","united states","alaska",NA,NA,NA,"1991","8","2","anders often","e6ccc2bd-9451-4802-8a51-8640d9f09793"
"0003d64e-4711-4649-89f3-66ac9ed80a19","urn:catalog:trom:v:71453","71453","orobanchaceae","euphrasia","euphrasia frigida","norway","troms og finnmark",22.3704,70.7003,NA,"1998","8","15","trond schumacher","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"0003eca8-ae40-4707-be63-715488345354","bce2c90c-2106-4867-8c92-05fdda64bb13","b.26027","orobanchaceae","castilleja","castilleja linariifolia","united states","arizona",-111.60417,35.25278,"1978-08-02","1978","8","2","peterson, e., downs, j. & phillips, a.","de5203b1-5a44-4010-948c-b7d33f46397a"
"0003ff0b-5fa7-42b2-b520-b974b28b4c2a","{5654c3d7-8cfe-45dd-b97b-ace425484ba2}","osc-v-036133","orobanchaceae","orthocarpus","orthocarpus bracteosus","united states","oregon",NA,NA,"1926-06-17","1926","6","17","louis f. henderson; l.f. henderson","7c1a1d78-aeaa-4501-87e1-83eceb8ca8ea"
"00041f0d-e83b-4db9-af52-91b073498a50","83825747-fc5e-40ae-98e2-42c09623e720","barcode-00129102","orobanchaceae","pedicularis","pedicularis","china","yunnan",100.1,25.67,"1983-09-11","1983","9","11","sino-amer. exped. yunnan (1983)","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"00045198-4acf-42de-8af5-b342d3cbcb71","urn:catalog:mo:tropicos:100710043","100710043","orobanchaceae","buchnera","buchnera americana","united states","missouri",-94.6333333,37.5,NA,"1997","9","21","stephen l. timme|caleb timme","5386d272-06c6-4027-b5d5-d588c2afe5e5"
"0004620e-f12e-445b-a632-109f8b3b4095","cc0723c1-f052-4402-8e6c-4e704f4808cf","b14209","orobanchaceae","rhinanthus","rhinanthus crista-galli","united kingdom",NA,NA,NA,"1886-07-10","1886","7","10","a. lomax","c2767dde-1315-4d78-abf9-8e098dd588ab"
"0004b294-6106-46ce-a97f-c1a1ba4f2cfb","http://n2t.net/ark:/65665/3ae244aba-0e22-4f20-aa9e-6f3a2b27e938",NA,"orobanchaceae","pedicularis","pedicularis canadensis","united states","pennsylvania",NA,NA,"1893-05-27","1893","5","27","a. a. heller & e. g. halbach","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"0004d809-ee57-4dcf-a74e-b7f1646e26b9","67b1b2b5-c79a-4147-8ce4-c113b37e1431",NA,"orobanchaceae","siphonostegia","siphonostegia chinensis","china","baotaizhen",NA,NA,"2006-08-28","2006","8","28","guocheng-yong","f0174bc9-0cca-450e-a941-655d80040139"
"0004ef88-8dbb-40be-8e38-72afad1c4f0e","848db594-92c7-42bb-8a24-da4e7f4aa3d3","3257867","orobanchaceae","castilleja","castilleja integra","united states","colorado",-106.2311,37.0858,"1985-06-06",NA,NA,NA,"p. douglas","36d35b23-113e-4633-90ec-19d265a3b5f6"
"0004f0e7-801e-4a92-be66-f0ab53bc652b","05348e19-5f98-40b4-8c72-8b056dcb3ac6","ucsb007810","orobanchaceae","castilleja","castilleja applegatei","united states","california",NA,NA,"1980-05-04","1980","5","4","taylor, a.","f31a5f98-efd3-476a-9627-de3add582acd"
"00053de2-096b-49cb-96ed-bf29e2e12c04","{49d770a8-16b5-47b5-9587-be9145767895}",NA,"orobanchaceae","castilleja","castilleja peckiana","united states","oregon",-118.6467,42.7372,"1951-07-04","1951","7","4","j. j. stattner; j.j. stattner","7c1a1d78-aeaa-4501-87e1-83eceb8ca8ea"
"000544c5-aefa-403f-affa-e6295c81c9d4","86c61c87-b2a0-48c5-b022-ab66d8a0119a","dav240553","orobanchaceae","castilleja","castilleja miniata subsp. miniata","united states","california",-121.410787,40.444415,"2022-06-26","2022","6","26","alison colwell; cristian singer","b9ab58cf-785e-44a7-a873-1966e14a6715"
"00054f0c-9c6f-4d21-8cc1-ee6bf5c46ba6","37267bb4-4f21-4809-9d5d-288ea0d7367f","ncu00237985","orobanchaceae","agalinis","agalinis purpurea","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"000551fd-8e8e-4cb4-ab97-9b0d11a5a39a","d38d0dfd-fefb-4aec-b721-df0f7ba53dfb","bryv0049370","orobanchaceae","cordylanthus","cordylanthus kingii var. densiflorus","united states","utah",NA,NA,"1965-07-21","1965","7","21","jack d. brotherson","733616a3-f5f6-4b65-b62e-fe8892e75bdf"
"000593b0-acbf-4ac0-bb68-f095bea9ff2c","3881eb7d-9ab2-401f-9a63-63a9b0dd087b","uvmvt093487","orobanchaceae","castilleja","castilleja septentrionalis","united states","vermont",-72.81885,44.62779,NA,"0","0","0",NA,"ba54ba45-caac-4708-a389-ac94642976f8"
"0005a5b5-9cf0-4b05-b682-e27d6efb19aa","9a647132-a610-11e3-a341-00ff10703b0e","sjnm-v-0045622","orobanchaceae","castilleja","castilleja linariifolia","united states","new mexico",-106.56383333,36.86633333,"2007-07-26","2007","7","26","heil, kenneth d.; o'kane, jr., steve l.","8ec76c75-a673-4682-bfde-00a18bc12794"
"00062ea6-be5d-435e-a290-1869b1752fd1","afc7f665-1642-4ce5-860e-57a56d1b8988","barcode-01877528","orobanchaceae","castilleja","castilleja","united states","colorado",NA,NA,"1937-08-27","1937","8","27","m. ownbey","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"000637eb-bcbe-4e47-9f26-9032c1d1a309","urn:catalog:cas:bot-bc:499941","499941","orobanchaceae","aphyllon","orobanche fasciculata","united states","california",NA,NA,"1969-09-02","1969","9","2","hardham, clare b.","26f7cbde-fbcb-4500-80a9-a99daa0ead9d"
"00065507-9176-4237-bb02-0543adc50f5b","7c6e15e1-7f9c-4d18-8cc3-1fd96ffd56c6","79805","orobanchaceae","pedicularis","pedicularis canadensis","united states","wisconsin",NA,NA,"1938-05-28","1938","5","28","clair l. worley, e. lohmiller","0fd6e726-6828-4f62-ba8d-6ec316fe0b52"
"000673c8-5e6d-488a-ba6b-65dd4488def5","https://specieslink.net/guid/186/62631","62631","orobanchaceae","esterhazya","esterhazya splendida","brasil","santa catarina",-49.5905555,-27.9005556,"2019-02-09","2019","02","09","a. kassner-filho","5ee6f92f-c65c-4888-98e3-f152b3ceb184"
"00068a94-780b-4363-920e-5a718f193759","344e0664-3e5d-480d-b430-4690684f836c","3259481","orobanchaceae","castilleja","castilleja miniata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"0006d37a-91f9-4599-acc2-e81b43d90439","ae3c26d5-c0a9-4efe-9c4d-0a4a7f199817","279013","orobanchaceae","castilleja","castilleja cusickii","united states","oregon",-117.796063,45.174948,"1979-05-18","1979","5","18","brenda bafus","8b0c1f4b-9de7-4521-98c2-983e0bfd33c7"
