"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"550aabb1-adaf-49c2-bcc2-d92c7cfc5b89","1c05b12b-ca43-4026-a448-633c27a10e6e","uncc_05023","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,NA,NA,NA,NA,NA,"e34cf41b-196c-4199-85d5-4d2ca5954b09"
"56097480-f9ab-4d6b-9987-b30b804409c4","3e255482-27a5-11e3-8d47-005056be0003","lsu00031870","orobanchaceae","macranthera","macranthera flammea","united states","louisiana",NA,NA,"1983-09-11","1983","9","11","charles m. allen","4523e216-ee13-4b15-a3f7-a6fd56431604"
"5707a091-0a54-40a2-8edc-9f60de937bb6","9d8adb68-d568-4b23-9e70-09421963495e","conv0004934","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,NA,NA,NA,NA,NA,"5486b66d-2082-433d-9223-bd789ebca29c"
"570b29a2-ca4d-43b1-a0bb-fa949931b7c7","19eb05f7-0fe5-45bb-913f-7efd89f09f44","mmns005275","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1982",NA,NA,"sidney mcdaniel","1e798b2d-7f97-49b0-a864-79c968af91d3"
"58e3ab0b-8756-43ee-9e5a-c72fa751b76d","3a508d90-533b-4fa9-a7b6-a5853835e70d","duke10115050","orobanchaceae","macranthera","macranthera flammea","united states","alabama",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"5a1e59d7-cf48-4dfc-a69f-a2e4f9f8340a","urn:uuid:6a03e125-389d-44e7-aa6d-0c2038f26175","000133675","orobanchaceae","macranthera","macranthera flammea","united states","florida",-85.00514,30.24139,"2016-09-05",NA,NA,NA,"loran c. anderson","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"5af83a5f-b41d-4304-8d29-3644e2b5ae06","d65c4cdc-2cb8-438d-8e23-522e4a0fa135","usms_000015525","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1965",NA,NA,"carter, john","c3134980-bf5c-49b8-a289-790d45f02c86"
"5b301ccf-55f7-4f14-a1cc-f1e3c5532d82","6c8df833-1878-4985-9ad3-22fc935703f9","17705","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,"1971",NA,NA,"musselman, l j; waggoner, g s","ff89320d-e232-4edd-9cdd-4b6acc672ad3"
"5b596faf-a95d-4bd3-af12-00900a857e2d","bc292e15-8472-419f-b0df-ab63f1852f74","wcuh0017950","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,NA,NA,NA,NA,NA,"570dcca6-a84f-43aa-8053-1a2ac60d9ead"
"5b8ccac6-86e4-4599-aad6-5e60d0fdef09","6b6a45cb-a0be-4c00-ab38-d5d4ac31fdf4","252748","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,"1976-09-02","1976","9","2","angus k. gholson, jr.","781fd581-7b93-471e-a025-413e4bcd8491"
