site,field_plot,pair,plot,block,litter,removal,elevation,disturbance_distance,disturbance_type,avg_moisture,delta_div,rich_23,rich_25,delta_rich,delta_even,delta_plant_cover,delta_total_cover,delta_env_cover,delta_forb_cover,delta_grass_cover,delta_legume_cover,delta_hemi_cover,delta_sedge_cover,delta_shrub_cover,delta_forb_rich,delta_grass_rich,delta_legume_rich,delta_sedge_rich,delta_shrub_rich
Emerald Lake ,15A,15,29,1,Castilleja,C,3216.51,5.93,Treeline,6.07,0.15527092,10,13,3,-0.01848552,0.108,-0.122,-0.21,0.018,-0.03,0.12,-0.02,0,0,2,0,0,0,0
Emerald Lake ,15B,15,30,1,Castilleja,R,3218.55,6.88,Trail,5.59,-0.21709844,9,8,-1,-0.06020416,0.18,0.04,-0.14,0.03,-0.02,0.18,0,-0.01,0,-1,1,0,-1,0
Emerald Lake ,16A,16,31,2,Control,C,3216.43,2.95,Treeline,6.85,0.1110521,9,13,4,-0.06635114,0.414,0.264,-0.14,0.125,0.069,0.22,-0.01,0,0,3,1,0,0,0
Emerald Lake ,16B,16,32,2,Control,R,3215.72,5.1,Treeline,7.38,0.28205853,9,12,3,0.02254587,0.39,-0.105,-0.495,0.15,0.01,0.23,0,0,0,2,1,0,0,0
Emerald Lake ,17A,17,33,4,Community,R,3210.96,5.61,Trail,7.95,0.0983864,15,13,-2,0.08225496,0.134,0.044,-0.09,0.154,-0.01,-0.01,0,0,0,-3,1,0,0,0
Emerald Lake ,17B,17,34,4,Community,C,3214.84,2.77,Trail,7.34,0.18096073,9,16,7,-0.12291111,0.6,0.41,-0.21,0.5,0.06,0.04,0.02,0,0,6,1,0,0,0
Emerald Lake ,18A,18,35,5,Community,C,3208.33,3.55,Trail,9.14,0.43592289,10,16,6,0.03823608,0.039,-0.111,-0.1,0.07,-0.031,0,-0.05,0,0,6,0,0,0,0
Emerald Lake ,18B,18,36,5,Community,R,3208.76,4,Treeline,7.82,0.40374198,8,13,5,0.02570878,-0.058,-0.088,-0.03,-0.089,0.031,0,0,0,0,4,1,0,0,0
Emerald Lake ,19A,19,37,5,Castilleja,C,3208.84,4.3,Treeline,5.05,0.53537668,9,14,5,0.08511539,0.405,0.215,-0.19,0.315,0.09,0,0,0,0,3,2,0,0,0
Emerald Lake ,19B,19,38,5,Castilleja,R,3208.21,3.7,Treeline,5.06,-0.0337687,11,14,3,-0.09301085,0.092,0.042,-0.05,-0.038,-0.08,0.21,0,0,0,3,0,0,0,0
Emerald Lake ,20A,20,39,4,Mixed,C,3210.32,1.9,Trail,10.00,0.15931571,12,20,8,-0.09883355,0.424,0.144,-0.37,0.165,-0.061,0.32,0.09,0,0,7,0,1,0,0
Emerald Lake ,20B,20,40,4,Mixed,R,3213.27,3.37,Treeline,6.57,-0.18029399,12,12,0,-0.07255564,-0.034,0.076,0.11,-0.094,-0.02,0.08,0,0,0,0,0,0,0,0
