genus,species,parasitic_habit,native,ecosystem,host,inat_GA,inat_entire,protection_state,protection_fed,NatureServ_status_GA,DNR_monitor,DNR_status_GA,NatureServ_status,EO,accessions,habitat,DNR GA Biodiversity Link,SERNEC Herbarium Link,NatureServ Link,INat Link,Key Notes
Agalinis,pulchella,Root Hemiparasite,Yes,Savannah,Generalist,1,6,No Georgia state protection,No US federal protection,S3?,N/A,S3?,G4,2,138,"Dry, sandy, open, longleaf pinelands",Agalinis pulchella (georgiabiodiversity.org),SERNEC - Agalinis pulchella (sernecportal.org),Agalinis pulchella | NatureServe Explorer,Observations · iNaturalist,"Global Status last reviewed 5/11/1985; Nature Serve states that status needs review, habitat not described on Nature Serve and no DNR Website for this species"
Agalinis,purpurea,Root Hemiparasite,Yes,Grassland,Generalist,259,5149,N/A,N/A,SNR,N/A,N/A,G5,0,5469,N/A,N/A,SERNEC - Agalinis purpurea (sernecportal.org),Agalinis purpurea | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/25/2024
Agalinis,setacea,Root Hemiparasite,Yes,Savannah,Generalist,2,121,N/A,N/A,S4,N/A,N/A,G5,0,1005,N/A,N/A,SERNEC - Agalinis setacea (sernecportal.org),Agalinis setacea | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 11/24/1996; Nature Serve states that status needs review
Agalinis,tenella,Root Hemiparasite,Yes,Savannah,Generalist,0,3,No Georgia state protection,No US federal protection,S2?,less than 10,S2?,G4,2,0,"Dry, sandy to loamy openings",Agalinis tenella (georgiabiodiversity.org),N/A,Agalinis tenella | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 7/26/1995; Nature Serve states that status needs review
Agalinis,tenuifolia,Root Hemiparasite,Yes,Grassland,Generalist,174,3558,N/A,N/A,S5,N/A,N/A,G5,0,7077,N/A,N/A,SERNEC - Agalinis tenuifolia (sernecportal.org),Agalinis tenuifolia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/23/2016
Aphyllon,uniflorum,Root Holoparasite,Yes,Forest,Hardwoods,53,3252,N/A,N/A,N/A,N/A,N/A,N/A,0,3015,N/A,N/A,SERNEC - Orobanche uniflora (sernecportal.org),N/A,Observations · iNaturalist,N/A
Aureolaria,flava,Root Hemiparasite,Yes,Forest,White Oak,82,2259,N/A,N/A,SNR,N/A,N/A,G5,0,2642,N/A,N/A,SERNEC - Aureolaria flava (sernecportal.org),Aureolaria flava | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/12/2024
Aureolaria,grandiflora,Root Hemiparasite,Yes,Savannah,White Oak,19,1455,N/A,N/A,N/A,N/A,N/A,G4,0,0,N/A,N/A,N/A,Aureolaria grandiflora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 12/7/1984; Nature Serve states that status needs review
Aureolaria,laevigata,Root Hemiparasite,Yes,Forest,Oak,25,506,N/A,N/A,SNR,N/A,N/A,G5,0,1095,N/A,N/A,SERNEC - Aureolaria laevigata (sernecportal.org),Aureolaria laevigata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/2/1988; Nature Serve states that statues needs review
Aureolaria,patula,Root Hemiparasite,Yes,Forest,Oak,0,5,Threatened,No US federal protection,S1,11 to 25,S1,G3,10,105,"Coosa Valley flatwoods with moist, calcium-rich soil and low, streamside forests over circumneutral soils",Aureolaria patula (georgiabiodiversity.org),SERNEC - Aureolaria patula (sernecportal.org),Aureolaria patula | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 7/1/2001; Nature Serve states that status needs review
