OBJECTID,DataCollec,Owner,Site_Locat,Label_of_F,Manipulati,Instrument,Data_Use_C,Comment,MetadataID,HorizEstAc,VertEstAcc,FeatureHei,XCurrentMa,YCurrentMa,ProjectNam,SessionNam,DeviceType,PDOP,HDOP,CreationDa,CorrStatus,DeviceID,AccuracyRe
3236,jca,jca,,p11a,1,1,3,,,0.18871542811,0.36409074068,3211.64374468000,-107.04417727500,39.01302716850,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.20000000000,1.40000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3237,jca,jca,,p11b,1,1,3,,,0.11644880474,0.19007262588,3211.09603091000,-107.04414370600,39.01305072120,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.90000000000,1.80000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3238,jca,jca,,p7a,1,1,3,,,0.24448540807,0.49079200625,3210.21519822000,-107.04418337600,39.01294602340,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.60000000000,1.70000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3239,jca,jca,,p7b,1,1,3,,,0.20555868745,0.37889730930,3210.28308546000,-107.04417511500,39.01297074210,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),2.60000000000,1.20000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3240,jca,jca,,p8b,1,1,3,,,0.20101425052,0.59102314711,3209.15560411000,-107.04416173800,39.01292943580,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.30000000000,1.40000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3241,jca,jca,,p8a,1,1,3,,,0.22337988019,0.58841407299,3207.14288639000,-107.04419350000,39.01291491980,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.80000000000,1.30000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3242,jca,jca,,p9a,1,1,3,,,0.26713424921,0.63753193617,3208.27830441000,-107.04414120000,39.01286527330,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.60000000000,1.30000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3243,jca,jca,,p9b,1,1,3,,,0.45619755983,0.71151095629,3207.11310033000,-107.04412281600,39.01286220920,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),7.20000000000,1.80000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3244,jca,jca,,p10b,1,1,3,,,0.20798517764,0.73942893744,3207.80621765000,-107.04409742900,39.01274519440,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.70000000000,1.40000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3245,jca,jca,,p10a,1,1,3,,,0.13078464568,0.74939060211,3207.27097730000,-107.04409813300,39.01271178730,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.50000000000,1.10000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
