"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Eryngium yuccifolium",-84.652163,34.213704,"US","Georgia",NA,3710075619,"Apiaceae","VARIETY",1500,1964,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.75677,30.73584,"US","Georgia",NA,4015887656,"Poaceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.889704,34.12585,"US","Georgia",NA,4030702304,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.885657,34.123732,"US","Georgia",NA,4030705312,"Poaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Parthenium integrifolium",-83.37488,34.51028,"US","Georgia",NA,4502206305,"Asteraceae","VARIETY",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.225953,34.608719,"US","Georgia",NA,3709944813,"Asteraceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.462669,32.602369,"US","Georgia",NA,3709808396,"Asteraceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.587055,34.233265,"US","Georgia",NA,3710074585,"Asteraceae","SPECIES",150,1988,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.589358,34.378159,"US","Georgia",NA,4015892623,"Poaceae","SPECIES",NA,2019,"PRESERVED_SPECIMEN","GA",""
"Parthenium integrifolium",-83.404984,34.067245,"US","Georgia",NA,4030703301,"Asteraceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.858833,33.066004,"US","Georgia",NA,4030707305,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-82.889704,34.12585,"US","Georgia",NA,4030707309,"Apocynaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.42949,33.928471,"US","Georgia",NA,4030709332,"Apocynaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.11825,33.665109,"US","Georgia",NA,3709803384,"Poaceae","SPECIES",1503,1947,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.14575,33.806217,"US","Georgia",NA,3709982935,"Poaceae","SPECIES",966,1894,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.340544,34.304437,"US","Georgia",NA,3709934560,"Asteraceae","SPECIES",NA,2017,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.49615,34.11446,"US","Georgia",NA,3709934567,"Asteraceae","SPECIES",NA,2018,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.959337,33.967522,"US","Georgia",NA,4030702303,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.040144,34.352375,"US","Georgia",NA,4030706306,"Poaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.645927,33.995372,"US","Georgia",NA,4030704309,"Poaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.620784,33.564757,"US","Georgia",NA,4030704310,"Poaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.282415,33.730848,"US","Georgia",NA,3709812432,"Asteraceae","SPECIES",1325,1975,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.005385,30.810878,"US","Georgia",NA,3709969143,"Asteraceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.132627,34.248939,"US","Georgia",NA,3709844691,"Poaceae","SPECIES",1011,1955,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.38631,33.903613,"US","Georgia",NA,3709978681,"Asteraceae","SPECIES",NA,2015,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-84.14575,33.806217,"US","Georgia",NA,3709978869,"Apocynaceae","SPECIES",966,1893,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.498917,34.328694,"US","Georgia",NA,3709978927,"Asteraceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.51772,34.336397,"US","Georgia",NA,3709932568,"Asteraceae","SPECIES",800,1988,"PRESERVED_SPECIMEN","GA",""
