pot_id,sample_id,replicate,pot_treatment,light,species,focal_species,focal_code,bag_above,bag_below,bag_and_above,bag_and_below,above,below,total
L_5_P1H1,L_5_P1H1_SCSC,5,Together,Low,P1H1,S. scoparium,SCSC,10.022,10.001,11.893,11.968,1.871,1.967,3.838
A_1_P1H1,A_1_P1H1_AGPU,1,Together,Ambient,P1H1,A. purpurea,AGPU,9.780,9.765,11.315,11.296,1.535,1.531,3.066
A_1_P1H1,A_1_P1H1_SCSC,1,Together,Ambient,P1H1,S. scoparium,SCSC,9.933,9.981,11.673,11.925,1.740,1.944,3.684
A_2_P1H1,A_2_P1H1_AGPU,2,Together,Ambient,P1H1,A. purpurea,AGPU,,,,,,,
A_2_P1H1,A_2_P1H1_SCSC,2,Together,Ambient,P1H1,S. scoparium,SCSC,9.857,9.992,12.088,12.308,2.231,2.316,4.547
A_3_P1H1,A_3_P1H1_AGPU,3,Together,Ambient,P1H1,A. purpurea,AGPU,10.272,10.182,11.837,11.723,1.565,1.541,3.106
A_3_P1H1,A_3_P1H1_SCSC,3,Together,Ambient,P1H1,S. scoparium,SCSC,9.468,9.754,11.222,11.658,1.754,1.904,3.658
A_4_P1H1,A_4_P1H1_AGPU,4,Together,Ambient,P1H1,A. purpurea,AGPU,,,,,,,
A_4_P1H1,A_4_P1H1_SCSC,4,Together,Ambient,P1H1,S. scoparium,SCSC,10.207,10.005,12.011,11.823,1.804,1.818,3.622
A_5_P1H1,A_5_P1H1_AGPU,5,Together,Ambient,P1H1,A. purpurea,AGPU,9.813,10.016,11.397,11.585,1.584,1.569,3.153
A_5_P1H1,A_5_P1H1_SCSC,5,Together,Ambient,P1H1,S. scoparium,SCSC,10.346,10.257,12.217,12.314,1.871,2.057,3.928
L_1_P1H2,L_1_P1H2_AGPU,1,Together,Low,P1H2,A. purpurea,AGPU,9.774,9.667,11.446,11.262,1.672,1.595,3.267
L_1_P1H2,L_1_P1H2_SYRA,1,Together,Low,P1H2,S. racemosum,SYRA,9.813,9.959,11.624,11.763,1.811,1.804,3.615
L_2_P1H2,L_2_P1H2_AGPU,2,Together,Low,P1H2,A. purpurea,AGPU,,,,,,,
L_2_P1H2,L_2_P1H2_SYRA,2,Together,Low,P1H2,S. racemosum,SYRA,9.961,9.744,12.173,11.957,2.212,2.213,4.425
L_3_P1H2,L_3_P1H2_AGPU,3,Together,Low,P1H2,A. purpurea,AGPU,,,,,,,
L_3_P1H2,L_3_P1H2_SYRA,3,Together,Low,P1H2,S. racemosum,SYRA,9.771,9.961,11.960,11.929,2.189,1.968,4.157
