pot_num,pot_id,sample_id,replicate,pot_treatment,light,species,focal_species,focal_code,t1,t2,t6,t6,t7,t8,t9
93,A_3_P1H1,A_3_P1H1_AGPU,3,Together,Ambient,P1H1,A. purpurea,AGPU,3,4.8,9.3,10.1,11.4,11.6,13
93,A_3_P1H1,A_3_P1H1_SCSC,3,Together,Ambient,P1H1,S. scoparium,SCSC,10,8.7,18.1,20.6,21,21.4,21.5
94,A_4_P1H1,A_4_P1H1_AGPU,4,Together,Ambient,P1H1,A. purpurea,AGPU,2.2,1.6,,,,,
94,A_4_P1H1,A_4_P1H1_SCSC,4,Together,Ambient,P1H1,S. scoparium,SCSC,9.8,10,27.8,30.3,32.7,35.9,36
95,A_5_P1H1,A_5_P1H1_AGPU,5,Together,Ambient,P1H1,A. purpurea,AGPU,2,2.9,5.5,5.5,6.5,6.7,7.9
95,A_5_P1H1,A_5_P1H1_SCSC,5,Together,Ambient,P1H1,S. scoparium,SCSC,7.3,6.4,14,13.5,16.8,16.8,16.4
101,L_1_P1H2,L_1_P1H2_AGPU,1,Together,Low,P1H2,A. purpurea,AGPU,3.5,3.1,16.6,19.5,22.1,25.3,27.3
101,L_1_P1H2,L_1_P1H2_SYRA,1,Together,Low,P1H2,S. racemosum,SYRA,3.5,3.2,24.6,28.1,30.7,38.5,41.6
102,L_2_P1H2,L_2_P1H2_AGPU,2,Together,Low,P1H2,A. purpurea,AGPU,2.2,1.4,,,,,
102,L_2_P1H2,L_2_P1H2_SYRA,2,Together,Low,P1H2,S. racemosum,SYRA,4.9,4.5,26.8,37.6,40.3,50.2,55.8
103,L_3_P1H2,L_3_P1H2_AGPU,3,Together,Low,P1H2,A. purpurea,AGPU,2.1,1.5,,,,,
103,L_3_P1H2,L_3_P1H2_SYRA,3,Together,Low,P1H2,S. racemosum,SYRA,5,3.1,42.2,45.3,42.2,52.3,58.6
104,L_4_P1H2,L_4_P1H2_AGPU,4,Together,Low,P1H2,A. purpurea,AGPU,2.7,3.2,13,15.3,16.2,21.9,22.9
104,L_4_P1H2,L_4_P1H2_SYRA,4,Together,Low,P1H2,S. racemosum,SYRA,4.3,3.7,17.9,18.9,20.1,20.2,19.5
105,L_5_P1H2,L_5_P1H2_AGPU,5,Together,Low,P1H2,A. purpurea,AGPU,2.3,2.3,,11.3,12,13,14.8
105,L_5_P1H2,L_5_P1H2_SYRA,5,Together,Low,P1H2,S. racemosum,SYRA,4.7,3.6,24.2,24.1,27.2,31.8,33.7
111,A_1_P1H2,A_1_P1H2_AGPU,1,Together,Ambient,P1H2,A. purpurea,AGPU,2,,,,,,
111,A_1_P1H2,A_1_P1H2_SYRA,1,Together,Ambient,P1H2,S. racemosum,SYRA,4.9,4,29.2,36.1,42,45.9,48.8
112,A_2_P1H2,A_2_P1H2_AGPU,2,Together,Ambient,P1H2,A. purpurea,AGPU,4.6,4.4,17,20.4,21.3,25.4,27.6
112,A_2_P1H2,A_2_P1H2_SYRA,2,Together,Ambient,P1H2,S. racemosum,SYRA,4.8,3,11,10.8,12.4,11,9.7
113,A_3_P1H2,A_3_P1H2_AGPU,3,Together,Ambient,P1H2,A. purpurea,AGPU,2.7,2.3,8.1,11.9,14.6,17,18.5
113,A_3_P1H2,A_3_P1H2_SYRA,3,Together,Ambient,P1H2,S. racemosum,SYRA,4.1,4.2,14.8,15,15,14.7,15
114,A_4_P1H2,A_4_P1H2_AGPU,4,Together,Ambient,P1H2,A. purpurea,AGPU,3.3,2.5,14.4,,16.5,17.6,18.6
114,A_4_P1H2,A_4_P1H2_SYRA,4,Together,Ambient,P1H2,S. racemosum,SYRA,3.5,3.7,9.6,,9.8,9.8,9.6
115,A_5_P1H2,A_5_P1H2_AGPU,5,Together,Ambient,P1H2,A. purpurea,AGPU,2.4,2,,,,,
115,A_5_P1H2,A_5_P1H2_SYRA,5,Together,Ambient,P1H2,S. racemosum,SYRA,4.2,4.6,32.3,38.3,42.6,46.9,49.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DEAD,,
