"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Coreopsis major",-84.452784,33.873315,"USA","Georgia",NA,4046502341,"Asteraceae","SPECIES",17,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.34482,34.570958,"USA","Georgia",NA,4176916426,"Asteraceae","SPECIES",16,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.555744,34.431458,"USA","Georgia",NA,4522487512,"Asteraceae","SPECIES",28818,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.708633,33.577541,"USA","Georgia",NA,2242863386,"Asteraceae","SPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.393571,34.740428,"USA","Georgia",NA,4522513580,"Asteraceae","SPECIES",197,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.408945,34.929438,"USA","Georgia",NA,2818567808,"Asteraceae","SPECIES",1823,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.66727,34.68321,"USA","Georgia",NA,4133901722,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.76902,33.760517,"USA","Georgia",NA,3859871385,"Asteraceae","SPECIES",68,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.349847,34.665345,"USA","Georgia",NA,2826213584,"Asteraceae","SPECIES",10880,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.068002,33.584823,"USA","Georgia",NA,4606609527,"Asteraceae","SPECIES",122,2007,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.410156,34.864955,"USA","Georgia",NA,4138352421,"Asteraceae","SPECIES",16,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.388825,34.111369,"USA","Georgia",NA,3888873191,"Asteraceae","SPECIES",28874,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.23121,34.94423,"USA","Georgia",NA,4522496637,"Asteraceae","SPECIES",318,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.099784,34.599342,"USA","Georgia",NA,4522513417,"Asteraceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.146779,34.236968,"USA","Georgia",NA,2826194112,"Asteraceae","SPECIES",445,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.289946,33.8234,"USA","Georgia",NA,4130105198,"Asteraceae","SPECIES",10000,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.479225,34.836445,"USA","Georgia",NA,4399933849,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.121602,34.14422,"USA","Georgia",NA,4153603770,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.422053,34.860892,"USA","Georgia",NA,4103404435,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.951486,34.982447,"USA","Georgia",NA,4522508106,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-82.422974,33.381085,"USA","Georgia",NA,4901048968,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.126245,34.602709,"USA","Georgia",NA,4522584966,"Asteraceae","SPECIES",538,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.636414,34.130516,"USA","Georgia",NA,4904267345,"Asteraceae","SPECIES",224,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.52533,34.541267,"USA","Georgia",NA,4129914975,"Asteraceae","SPECIES",3,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.444844,34.898128,"USA","Georgia",NA,4133908730,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.106493,34.929563,"USA","Georgia",NA,3321122296,"Asteraceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.29555,34.63166,"USA","Georgia",NA,4522439523,"Asteraceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.403502,34.743528,"USA","Georgia",NA,4522475650,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.142655,32.954857,"USA","Georgia",NA,3784986800,"Asteraceae","SPECIES",3797,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.008855,33.982278,"USA","Georgia",NA,4522491651,"Asteraceae","SPECIES",118,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.482339,34.844252,"USA","Georgia",NA,4138024622,"Asteraceae","SPECIES",3,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.451507,33.34691,"USA","Georgia",NA,4945481825,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.161575,34.230642,"USA","Georgia",NA,3321196820,"Asteraceae","SPECIES",4,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
