"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Eryngium yuccifolium",-83.376111,34.528611,"USA","Georgia",NA,2234632529,"Apiaceae","VARIETY",500,1975,"PRESERVED_SPECIMEN","NCU",""
"Eryngium yuccifolium",-81.983652,32.066189,"USA","Georgia",NA,2234630659,"Apiaceae","VARIETY",1035,1966,"PRESERVED_SPECIMEN","NCU",""
"Eryngium yuccifolium",-83.06735,32.120777,"USA","Georgia",NA,2234631292,"Apiaceae","VARIETY",4400,1966,"PRESERVED_SPECIMEN","NCU",""
"Eryngium yuccifolium",-81.527043,31.98353,"USA","Georgia",NA,2234623225,"Apiaceae","VARIETY",1500,1967,"PRESERVED_SPECIMEN","NCU",""
"Eryngium yuccifolium",-83.189178,31.296259,"USA","Georgia",NA,2234626205,"Apiaceae","VARIETY",2205,1965,"PRESERVED_SPECIMEN","NCU",""
"Eryngium yuccifolium",-83.669425,31.762736,"USA","Georgia",NA,2234631565,"Apiaceae","VARIETY",1029,1964,"PRESERVED_SPECIMEN","NCU",""
"Eryngium yuccifolium",-82.993161,31.890765,"USA","Georgia",NA,3764235398,"Apiaceae","SPECIES",43883,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.161697,34.164445,"USA","Georgia",NA,1883467264,"Apiaceae","SPECIES",8000,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400264,33.778808,"USA","Georgia",NA,4945866060,"Apiaceae","SPECIES",8,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.4404,32.1763,"USA","Georgia",NA,4519993334,"Apiaceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","FLAS",""
"Eryngium yuccifolium",-82.335118,32.407588,"USA","Georgia",NA,2859139242,"Apiaceae","VARIETY",90,1979,"PRESERVED_SPECIMEN","CM",""
"Eryngium yuccifolium",-84.381867,34.003508,"USA","Georgia",NA,1883467052,"Apiaceae","SPECIES",6,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-85.52996,34.095841,"USA","Georgia",NA,4936843570,"Apiaceae","SPECIES",28874,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.284928,33.767192,"USA","Georgia",NA,4919701590,"Apiaceae","SPECIES",10,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.575,34.875,"USA","Georgia",NA,890176098,"Apiaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","RBGE","Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)"
"Eryngium yuccifolium",-84.918697,32.06305,"USA","Georgia",NA,2634302936,"Apiaceae","SPECIES",429,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.38205,34.002411,"USA","Georgia",NA,4872047372,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.001747,33.913483,"USA","Georgia",NA,4153376151,"Apiaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.898079,33.915992,"USA","Georgia",NA,3874054510,"Apiaceae","SPECIES",24,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.129555,34.190797,"USA","Georgia",NA,4908060758,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.334102,33.994536,"USA","Georgia",NA,4847169320,"Apiaceae","SPECIES",6,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400455,33.779031,"USA","Georgia",NA,4413361830,"Apiaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.325008,33.987093,"USA","Georgia",NA,4046324401,"Apiaceae","SPECIES",73,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.267908,33.771652,"USA","Georgia",NA,3859977618,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.628678,30.952928,"USA","Georgia",NA,3963625961,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.40065,33.778866,"USA","Georgia",NA,4945938514,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.829361,31.620654,"USA","Georgia",NA,4506549475,"Apiaceae","SPECIES",61904,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.142309,34.183741,"USA","Georgia",NA,4525320777,"Apiaceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.302219,33.778193,"USA","Georgia",NA,4901729728,"Apiaceae","SPECIES",40,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.880608,30.812936,"USA","Georgia",NA,3889146376,"Apiaceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.03789,33.675182,"USA","Georgia",NA,3343707151,"Apiaceae","SPECIES",16928,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-82.410178,32.612758,"USA","Georgia",NA,4924024883,"Apiaceae","VARIETY",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-82.15202,30.612339,"USA","Georgia",NA,4413533920,"Apiaceae","VARIETY",29330,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.877995,34.881161,"USA","Georgia",NA,3892352431,"Apiaceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-85.486695,34.813795,"USA","Georgia",NA,3889003102,"Apiaceae","SPECIES",35,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-82.862144,31.750282,"USA","Georgia",NA,4138314190,"Apiaceae","SPECIES",16,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.343902,33.416195,"USA","Georgia",NA,3988559338,"Apiaceae","SPECIES",8,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400644,33.778861,"USA","Georgia",NA,4946456561,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
