"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Liatris spicata",-84.359878,33.76354,"USA","Georgia",NA,1640039583,"Asteraceae","SPECIES",15,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-83.400047,31.611604,"USA","Georgia",NA,3465913475,"Asteraceae","VARIETY",29199,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-83.58583,31.131156,"USA","Georgia",NA,4438893014,"Asteraceae","VARIETY",19,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-81.848162,30.980687,"USA","Georgia",NA,4028793432,"Asteraceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-82.756517,31.513994,"USA","Georgia",NA,3391665176,"Asteraceae","SPECIES",343,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-81.275986,31.628067,"USA","Georgia",NA,3947062783,"Asteraceae","VARIETY",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-83.585792,31.130906,"USA","Georgia",NA,4438784112,"Asteraceae","VARIETY",13,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-85.129035,34.679531,"USA","Georgia",NA,4022082620,"Asteraceae","SPECIES",91,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-83.928662,34.837571,"USA","Georgia",NA,3961344376,"Asteraceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-83.9789,30.8364,"USA","Georgia",NA,153276837,"Asteraceae","SPECIES",8319,1948,"PRESERVED_SPECIMEN","FTG",""
"Liatris spicata",-83.919197,30.864153,"USA","Georgia",NA,4153043600,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","TTRS",""
"Liatris spicata",-83.919197,30.864153,"USA","Georgia",NA,4153043846,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","TTRS",""
"Liatris spicata",-83.919197,30.864153,"USA","Georgia",NA,4153052084,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","TTRS",""
"Liatris spicata",-83.922409,34.773863,"USA","Georgia",NA,4929871390,"Asteraceae","SPECIES",9516,1946,"PRESERVED_SPECIMEN","PH",""
"Liatris spicata",-83.9875,34.869167,"USA","Georgia",NA,3707732210,"Asteraceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","MMNS",""
"Liatris spicata",-84.681038,32.875897,"USA","Georgia",NA,4929902741,"Asteraceae","SPECIES",4159,1940,"PRESERVED_SPECIMEN","PH",""
"Liatris spicata",-85.001441,34.795443,"USA","Georgia",NA,4929850942,"Asteraceae","SPECIES",8754,1947,"PRESERVED_SPECIMEN","PH",""
"Liatris spicata",-81.728101,31.041166,"USA","Georgia",NA,1990105255,"Asteraceae","SPECIES",1353,2001,"PRESERVED_SPECIMEN","TENN",""
"Liatris spicata",-83.87513,31.530729,"USA","Georgia",NA,4929902746,"Asteraceae","SPECIES",5744,1940,"PRESERVED_SPECIMEN","PH",""
"Liatris spicata",-83.336555,31.534355,"USA","Georgia",NA,4946212285,"Asteraceae","SPECIES",13,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-81.982978,31.197334,"USA","Georgia",NA,1990173843,"Asteraceae","VARIETY",NA,NA,"PRESERVED_SPECIMEN","NCSC",""
"Liatris spicata",-82.733849,32.105258,"USA","Georgia",NA,1990173837,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","NCSC",""
"Liatris spicata",-81.372141,31.485629,"USA","Georgia",NA,1990173845,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","NCSC",""
"Liatris spicata",-84.226343,33.770661,"USA","Georgia",NA,1990173892,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","NCSC",""
