"term","df","SS","F_value","p_value","R2"
"castilleja",1,0.257260924748334,0.837821150957032,0.1829,0.00132628966293576
"species",2,27.3284802281429,44.5003040804732,0.036,0.140889957795913
"year",1,8.16077601814437,26.5771833126731,0.0356,0.0420722769498987
"site",4,26.51518408541,21.5879870505088,0.0366,0.136697069707419
"castilleja:species",2,0.458584174842542,0.74673509308325,0.3178,0.00236419678299213
"castilleja:year",1,0.262421393980532,0.854627241022315,0.2169,0.00135289408024188
"castilleja:site",4,1.1015254322875,0.896833930755675,0.029,0.00567883286485471
"Residual",423,129.886158930507,NA,NA,0.669618482155745
