Sampling year,Snowpack (cm),Snowfall (in),May_Temperature (ºC),May_Precipitation (in),June_Temperature (ºC),June_Precipitation (in),July_Temperature (ºC),July_Precipitation (in),August_Temperature (ºC),August_Precipitation (in),Average_Temperature (ºC),Average_Precipitation (in)
2023,246,362.6,13.70,0.67,19.70,1.44,24.10,0.04,22.60,1.03,20.03,0.80
2024,164,300.4,10.90,0.27,17.00,2.55,22.50,1.32,21.00,4.83,18.13,2.24
