year,date,site,species,elevation,pair,plot,castilleja,total_cover,plant_cover,bare,no_plant,no_total,div,rich,even,Achillea.millefolium,Achnatherum.sp.,Agastache.urticifolia,Agoseris.glauca,Agoseris.sp.,Allium.geyeri,Amelanchier.alnifolia,Androsace.septentrionales,Anemone.multifida,Antennaria.parviflora,Antennaria.parvifolia,Aquilegia.coerulea,Arctostaphylos.uva.ursi,Artemisia.arbuscula,Artemisia.dracunculus,Artemisia.tridentada,Artemisia.tridentata,Asteraceae,Astragalus.alpinus,Astragalus.drummondii,Astragalus.miser,Balsamorhiza.sagittata,Berberis.repens,Boechera.consanguinea,Boechera.stricta,Botrychium.sp.,Bromus.frondosus,Bromus.inermis,Calochortus.gunnisonii,Campanula.petiolata,Carex.pityophila,Carex.sp.,Carex.sp...chalciolepis..ebenea..egglestonii..hoodii.,Carex.sp...obtusata..geyeri.,Chenopodium.atrovirens,Chrysothamnus.depresus,Chrysothamnus.vaseyi,Chrysothamnus.viscidiflorus,Cirsium.griseum,Collomia.linearis,Crepis.sp.,Cymopterus.lemmonii,Cyrtorhyncha.ranunculina,Dactylis.glomerata,Dactylus.glomeratus,Danthonia.parryi,Delphinium.barbeyi,Delphinium.nuttalianum,Delphinium.nuttallianum,Delphinum.nuttalliianum,Deschampsia.cespitosa,Draba.spectabilis,Elymus.elymoides,Elymus.glaucus,Elymus.lanceolatus,Elymus.trachycaulus,Eremegone.congesta,Eremogone.congesta,Erigeron.coulteri,Erigeron.eatonii,Erigeron.flagellaris,Erigeron.leiomerus,Erigeron.sp.,Erigeron.speciosus,Erigeron.subtrinervis,Eriogonum.racemosum,Eriogonum.umbellatum,Eriogonum.umbellatum.aureum,Eriogonum.umbellatum.majus,Festuca.rubra,Festuca.thurberi,Fragaria.virginiana,Frasera.speciosa,Galium.bifolium,Galium.boreale,Gayophytum.sp.,Gentiana.parryi,Helianthella.quinquenerva,Helianthella.quinquenervis,Heliomerus.multiflora,Heterotheca.sp.,Hydrophyllum.capitatum,Hymenoxys.hoopesii,Ipomopsis.aggregata,Ipomopsis.aggregatta,Juniperus.communis,Koeleria.macrantha,Lathyrus.lanszwertii,Linum.lewisii,Lomatium.dissectum,Lomatium.triternatum,Lupinus.argenteus,Lupinus.polyphyllus,Lupinus.sp.,Maianthemum.stellatum,Mertensia.brevistyla,Moehringia.sp.,Noccaea.fendleri,Oreochrysum.parryi,Paxistima.myrsinites,Pediocactus.simpsonii,Penstemon.caespitosus,Penstemon.strictus,Phacelia.sp.,Phleum.alpinum,Phlox.multiflora,Poa.alpina,Poa.compressa,Poa.fendleriana,Poa.pratensis,Poa.sp.,Polygonum.sp.,Populus.balsamifera,Populus.tremuloides,Potentilla.glaucophylla,Potentilla.hippiana,Potentilla.pulcherrima,Pulsatilla.nuttalliana,Pyrrocoma.crocea,Rosa.woodsii,Sedum.lanceolatum,Senecio.crassulus,Senecio.integerrimus,Senecio.pudicus,Sibbaldia.procumbens,Silene.drummondii,Solidago.multiradiata,Solidago.multiradiata.1,Stipeae,Symphoricarpos.rotundifolius,Taraxacum.officianale,Taraxacum.officinale,Thalictrum.fendleri,Trisetum.canescens,Trisetum.spicatum,Valeriana.edulis,Valeriana.occidentalis,Vicia.americana,Viola.adunca,Viola.praemorsa,Wyethia.amplexicaulis,Wyethia.x.magna
2023,7/26/23,Avery,C. septentrionalis,"2,939",6,11,Castilleja,1.21,0.86,0.3,0.79,1.09,1.396245133,6,0.779259246,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.12,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",6,12,Control,1.2,0.8,0.3,0.9,1.2,1.529339118,6,0.853540413,0,0.1,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",7,13,Castilleja,1.21,0.58,0.6,0.53,1.13,1.472135994,6,0.821614742,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",7,14,Control,1.09,0.59,0.45,0.64,1.09,1.663631758,6,0.928490563,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.1,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,C. septentrionalis,"2,939",8,15,Castilleja,1.03,0.73,0.3,0.61,0.91,1.40714602,7,0.723130007,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,C. septentrionalis,"2,939",8,16,Control,1.06,0.31,0.75,0.31,1.06,1.157275083,4,0.834797512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,C. septentrionalis,"2,939",8,17,Castilleja,1.025,0.625,0.4,0.605,1.005,1.357040328,6,0.757378628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,C. septentrionalis,"2,939",9,18,Control,1.01,0.86,0.15,0.86,1.01,1.563590125,7,0.803526373,0.04,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,C. septentrionalis,"2,939",9,19,Castilleja,1.2,0.61,0.55,0.62,1.17,2.062768109,9,0.938806224,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.08,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,C. septentrionalis,"2,939",10,20,Control,1.21,0.51,0.7,0.51,1.21,1.637422048,6,0.913862645,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0
