"year","plot","code","functional_group","percent_cover","nearest_neighbor"
"2023",7,"LIPO","forb",0.2,0
"2023",7,"MECI","forb",0.03,0
"2023",7,"POGR","forb",0.02,0
"2023",7,"SECR","forb",0.01,0
"2023",7,"VAOC","forb",0.02,0
"2023",7,"ELGL","grass",0.03,0
"2023",7,"MESP","grass",0.04,0
"2023",8,"ANSE","forb",0.01,0
"2023",8,"AQCO","forb",0.02,0
"2023",8,"ERSP","forb",0.05,1
"2023",8,"FRVI","forb",0.02,0
"2023",8,"GEPA","forb",0.03,0
"2023",8,"HEQU","forb",0.08,1
"2023",8,"HEMA","forb",0.1,0
"2023",8,"HYHO","forb",0.02,0
"2023",8,"LIPO","forb",0.25,1
"2023",8,"POGR","forb",0.035,1
"2023",8,"SECR","forb",0.03,0
"2023",8,"THFE","forb",0.08,0
"2023",8,"ELGL","grass",0.03,1
"2023",8,"MESP","grass",0.02,0
"2023",8,"PHAL","grass",0.02,0
"2023",8,"RIMO","shrub",0.15,1
"2023",9,"CHAN","forb",0.05,0
"2023",9,"ERCO","forb",0.06,1
"2023",9,"GERI","forb",0.01,0
"2023",9,"HEMA","forb",0.4,0
"2023",9,"LIPO","forb",0.03,0
"2023",9,"MECI","forb",0.05,0
"2023",9,"POGR","forb",0.03,0
"2023",9,"RUSA","forb",0.09,0
"2023",9,"ELGL","grass",0.25,1
"2023",9,"LUAR","legume",0.03,1
"2023",10,"ANSE","forb",0.01,0
"2023",10,"CHAN","forb",0.015,0
"2023",10,"ERCO","forb",0.06,0
"2023",10,"GABI","forb",0.02,0
"2023",10,"GERI","forb",0.1,0
"2023",10,"HEMA","forb",0.09,0
"2023",10,"HYHO","forb",0.015,0
"2023",10,"MECI","forb",0.01,0
"2023",10,"RUSA","forb",0.02,0
"2023",10,"VINU","forb",0.001,0
"2023",10,"ELGL","grass",0.09,0
"2023",10,"POPR","grass",0.06,0
"2023",10,"LUAR","legume",0.005,0
"2023",11,"AQCO","forb",0.05,0
"2023",11,"CHAN","forb",0.06,0
"2023",11,"ERCO","forb",0.01,0
"2023",11,"ERSP","forb",0.04,0
"2023",11,"HEQU","forb",0.08,0
"2023",11,"HEMA","forb",0.03,0
"2023",11,"HYHO","forb",0.05,0
"2023",11,"LIPO","forb",0.1,0
"2023",11,"MECI","forb",0.03,0
"2023",11,"POGR","forb",0.02,0
"2023",11,"VAOC","forb",0.12,0
"2023",11,"ELGL","grass",0.08,0
"2023",11,"MESP","grass",0.04,0
"2023",11,"RIMO","shrub",0.3,0
"2023",12,"AQCO","forb",0.01,0
"2023",12,"CHAN","forb",0.01,0
"2023",12,"DEBA","forb",0.06,0
"2023",12,"ERGR","forb",0.001,0
"2023",12,"FRVI","forb",0.01,0
"2023",12,"HEQU","forb",0.3,1
"2023",12,"HEMA","forb",0.04,0
"2023",12,"HYHO","forb",0.05,0
"2023",12,"LIPO","forb",0.06,0
"2023",12,"POGR","forb",0.02,0
"2023",12,"SECR","forb",0.01,0
"2023",12,"ELGL","grass",0.03,1
"2023",12,"MESP","grass",0.09,0
"2023",12,"LUAR","legume",0.02,0
"2023",12,"RIMO","shrub",0.07,0
"2023",13,"ANSE","forb",0.001,0
"2023",13,"ERCO","forb",0.05,0
"2023",13,"ERGR","forb",0.01,0
"2023",13,"HEQU","forb",0.06,0
"2023",13,"HEMA","forb",0.04,0
"2023",13,"HYHO","forb",0.06,1
"2023",13,"LIPO","forb",0.01,0
"2023",13,"POGR","forb",0.25,0
"2023",13,"SECR","forb",0.02,0
"2023",13,"ELGL","grass",0.06,1
"2023",13,"MESP","grass",0.02,0
"2023",13,"LUAR","legume",0.15,1
"2023",14,"AQCO","forb",0.03,0
"2023",14,"CHAN","forb",0.15,0
"2023",14,"DEBA","forb",0.01,0
"2023",14,"ERCO","forb",0.01,0
"2023",14,"ERGR","forb",0.002,0
"2023",14,"FRVI","forb",0.01,0
"2023",14,"HEQU","forb",0.2,0
"2023",14,"HYHO","forb",0.01,0
"2023",14,"LIPO","forb",0.07,0
"2023",14,"POGR","forb",0.012,0
"2023",14,"SECR","forb",0.03,0
"2023",14,"VAOC","forb",0.01,0
"2023",14,"VINU","forb",0.001,0
"2023",14,"ELGL","grass",0.02,0
"2023",14,"MESP","grass",0.03,0
"2023",15,"BAVU","forb",0.002,0
"2023",15,"CHAN","forb",0.04,0
"2023",15,"ERCO","forb",0.08,0
"2023",15,"HEQU","forb",0.11,0
"2023",15,"HYHO","forb",0.02,0
"2023",15,"POGR","forb",0.03,0
"2023",15,"SECR","forb",0.07,0
"2023",15,"ELGL","grass",0.09,0
"2023",15,"MESP","grass",0.03,0
"2023",15,"LUAR","legume",0.15,0
"2023",16,"CHAN","forb",0.12,0
"2023",16,"DEBA","forb",0.04,0
"2023",16,"ERCO","forb",0.04,0
"2023",16,"ERGR","forb",0.01,0
"2023",16,"GERI","forb",0.02,0
"2023",16,"HEQU","forb",0.2,1
"2023",16,"POGR","forb",0.01,0
"2023",16,"SECR","forb",0.03,0
"2023",16,"VAOC","forb",0.01,0
"2023",16,"ELGL","grass",0.003,1
"2023",16,"MESP","grass",0.05,1
"2023",16,"CAHO","sedge",0.01,0
"2023",17,"CHAN","forb",0.15,0
"2023",17,"DEBA","forb",0.03,0
"2023",17,"ERCO","forb",0.002,0
"2023",17,"ERGR","forb",0.04,0
"2023",17,"HEMA","forb",0.001,0
"2023",17,"HYHO","forb",0.06,1
"2023",17,"LIPO","forb",0.25,0
"2023",17,"SECR","forb",0.005,1
"2023",17,"VAOC","forb",0.01,0
"2023",17,"ELGL","grass",0.12,1
"2023",17,"MESP","grass",0.005,0
"2023",17,"LUAR","legume",0.005,1
"2023",18,"ANSE","forb",0.001,0
"2023",18,"CHAN","forb",0.15,0
"2023",18,"DEBA","forb",0.01,0
"2023",18,"ERCO","forb",0.003,0
"2023",18,"ERGR","forb",0.02,0
"2023",18,"FRVI","forb",0.005,0
"2023",18,"HEQU","forb",0.005,0
"2023",18,"HEMA","forb",0.15,0
"2023",18,"HYHO","forb",0.05,0
"2023",18,"LIPO","forb",0.06,0
"2023",18,"MECI","forb",0.005,0
"2023",18,"SECR","forb",0.008,0
"2023",18,"VAOC","forb",0.01,0
"2023",18,"ELGL","grass",0.03,0
"2023",18,"MESP","grass",0.04,0
"2023",19,"CHAN","forb",0.12,1
"2023",19,"DEBA","forb",0.07,1
"2023",19,"ERGR","forb",0.015,0
"2023",19,"FRVI","forb",0.01,0
"2023",19,"HYHO","forb",0.1,0
"2023",19,"NOFE","forb",0.002,0
"2023",19,"POGR","forb",0.02,0
"2023",19,"RHIN","forb",0.015,0
"2023",19,"SECR","forb",0.02,0
"2023",19,"VAOC","forb",0.005,0
"2023",19,"MESP","grass",0.04,0
"2023",19,"PHPR","grass",0.001,0
"2023",19,"LUAR","legume",0.05,1
"2023",20,"ANSE","forb",0.01,0
"2023",20,"AQCO","forb",0.03,0
"2023",20,"CHAN","forb",0.01,0
"2023",20,"ERCO","forb",0.01,0
"2023",20,"ERGR","forb",0.02,0
"2023",20,"FRVI","forb",0.01,0
"2023",20,"HYHO","forb",0.015,0
"2023",20,"POGR","forb",0.15,0
"2023",20,"RHIN","forb",0.02,0
"2023",20,"SECR","forb",0.05,0
"2023",20,"VAOC","forb",0.01,0
"2023",20,"VINU","forb",0.003,0
"2023",20,"ELGL","grass",0.02,0
"2023",20,"MESP","grass",0.001,0
"2023",20,"LUAR","legume",0.06,0
"2023",21,"AQCO","forb",0.05,0
"2023",21,"CHAN","forb",0.12,1
"2023",21,"DEBA","forb",0.03,0
"2023",21,"ERCO","forb",0.03,0
"2023",21,"ERGR","forb",0.01,0
"2023",21,"GERI","forb",0.04,1
"2023",21,"HEQU","forb",0.15,0
"2023",21,"HYHO","forb",0.02,1
"2023",21,"LIPO","forb",0.3,0
"2023",21,"NOFE","forb",0.001,0
"2023",21,"POGR","forb",0.04,0
"2023",21,"SECR","forb",0.07,0
"2023",21,"THFE","forb",0.04,0
"2023",21,"VINU","forb",0.005,0
"2023",21,"ELGL","grass",0.06,1
"2023",21,"MESP","grass",0.12,0
"2023",22,"ERSP","forb",0.03,0
"2023",22,"HEQU","forb",0.15,0
"2023",22,"HYHO","forb",0.05,0
"2023",22,"LIPO","forb",0.07,0
"2023",22,"MECI","forb",0.04,0
"2023",22,"NOFE","forb",0.001,0
"2023",22,"POGR","forb",0.25,0
"2023",22,"MESP","grass",0.12,0
"2023",22,"LUAR","legume",0.03,0
"2023",22,"CAHO","sedge",0.06,0
"2023",23,"CHAN","forb",0.25,0
"2023",23,"ERCO","forb",0.03,0
"2023",23,"GERI","forb",0.01,0
"2023",23,"HEMA","forb",0.04,1
"2023",23,"HYHO","forb",0.02,0
"2023",23,"LIPO","forb",0.07,0
"2023",23,"MECI","forb",0.04,1
"2023",23,"POGR","forb",0.02,0
"2023",23,"VAOC","forb",0.15,0
"2023",23,"ELGL","grass",0.04,0
"2023",23,"MESP","grass",0.01,0
"2023",23,"CAHO","sedge",0.01,1
"2023",23,"RIMO","shrub",0.3,0
"2023",24,"CHAN","forb",0.01,0
"2023",24,"ERCO","forb",0.04,0
"2023",24,"FRVI","forb",0.03,0
"2023",24,"HEQU","forb",0.15,0
"2023",24,"HEMA","forb",0.3,0
"2023",24,"LIPO","forb",0.07,0
"2023",24,"MECI","forb",0.01,0
"2023",24,"POGR","forb",0.07,0
"2023",24,"SECR","forb",0.01,0
"2023",24,"VAOC","forb",0.06,0
"2023",24,"BRPU","grass",0.05,0
"2023",24,"MESP","grass",0.005,0
"2023",24,"RIMO","shrub",0.1,0
"2023",25,"ANSE","forb",0.002,0
"2023",25,"AQCO","forb",0.03,0
"2023",25,"CHAN","forb",0.01,0
"2023",25,"DEBA","forb",0.01,0
"2023",25,"ERCO","forb",0.02,0
"2023",25,"FRVI","forb",0.02,0
"2023",25,"HEQU","forb",0.1,0
"2023",25,"LIPO","forb",0.14,0
"2023",25,"POGR","forb",0.07,0
"2023",25,"VAOC","forb",0.04,0
"2023",25,"ELGL","grass",0.02,0
"2023",25,"MESP","grass",0.01,0
"2023",25,"LUAR","legume",0.03,0
"2023",25,"CAHO","sedge",0.03,0
"2023",26,"DEBA","forb",0.015,0
"2023",26,"ERCO","forb",0.01,0
"2023",26,"ERSP","forb",0.06,0
"2023",26,"FRVI","forb",0.01,0
"2023",26,"HEQU","forb",0.15,1
"2023",26,"LIPO","forb",0.13,0
"2023",26,"MECI","forb",0.01,0
"2023",26,"POGR","forb",0.05,0
"2023",26,"VAOC","forb",0.05,0
"2023",26,"BRPU","grass",0.001,1
"2023",26,"ELGL","grass",0.01,0
"2023",26,"MESP","grass",0.02,0
"2023",26,"LUAR","legume",0.04,1
"2023",26,"CAHO","sedge",0.03,1
"2023",27,"ERSP","forb",0.01,0
"2023",27,"GERI","forb",0.01,0
"2023",27,"HYHO","forb",0.05,1
"2023",27,"LIPO","forb",0.03,0
"2023",27,"POGR","forb",0.01,0
"2023",27,"SECR","forb",0.01,1
"2023",27,"ELGL","grass",0.03,0
"2023",27,"RIMO","shrub",0.4,0
"2023",28,"DEBA","forb",0.005,0
"2023",28,"ERGR","forb",0.005,0
"2023",28,"FRVI","forb",0.01,0
"2023",28,"GABI","forb",0.01,0
"2023",28,"GERI","forb",0.001,0
"2023",28,"HEQU","forb",0.03,0
"2023",28,"HEMA","forb",0.11,0
"2023",28,"HYHO","forb",0.08,0
"2023",28,"POGR","forb",0.002,0
"2023",28,"SECR","forb",0.015,0
"2023",28,"ELGL","grass",0.05,0
"2023",28,"MESP","grass",0.05,0
"2023",28,"RIMO","shrub",0.3,0
"2023",29,"ANSE","forb",0.004,0
"2023",29,"ERGR","forb",0.02,1
"2023",29,"GERI","forb",0.01,0
"2023",29,"HEQU","forb",0.04,0
"2023",29,"LIPO","forb",0.05,0
"2023",29,"POGR","forb",0.07,1
"2023",29,"RHIN","forb",0.005,0
"2023",29,"ELGL","grass",0.2,1
"2023",29,"MESP","grass",0.01,0
"2023",29,"LUAR","legume",0.08,0
"2023",30,"ERGR","forb",0.005,0
"2023",30,"HEQU","forb",0.015,0
"2023",30,"LIPO","forb",0.01,0
"2023",30,"POGR","forb",0.01,0
"2023",30,"SECR","forb",0.02,0
"2023",30,"ELGL","grass",0.08,0
"2023",30,"MESP","grass",0.1,0
"2023",30,"LUAR","legume",0.02,0
"2023",30,"CAHO","sedge",0.01,0
"2023",31,"ANSE","forb",0.005,0
"2023",31,"FRVI","forb",0.002,0
"2023",31,"HEQU","forb",0.015,0
"2023",31,"POGR","forb",0.025,0
"2023",31,"SECR","forb",0.03,0
"2023",31,"VAOC","forb",0.02,0
"2023",31,"ELGL","grass",0.09,1
"2023",31,"PHAL","grass",0.001,0
"2023",31,"LUAR","legume",0.08,1
"2023",32,"CHAN","forb",0.07,0
"2023",32,"ERGR","forb",0.02,0
"2023",32,"GERI","forb",0.03,0
"2023",32,"POGR","forb",0.03,0
"2023",32,"VAOC","forb",0.01,0
"2023",32,"VINU","forb",0.01,0
"2023",32,"ELGL","grass",0.25,0
"2023",32,"MESP","grass",0.1,0
"2023",32,"LUAR","legume",0.07,0
"2023",33,"ANSE","forb",0.01,0
"2023",33,"CHAN","forb",0.03,0
"2023",33,"ERCO","forb",0.01,0
"2023",33,"FRVI","forb",0.001,0
"2023",33,"GERI","forb",0.03,0
"2023",33,"HEQU","forb",0.015,0
"2023",33,"HEMA","forb",0.04,0
"2023",33,"HYHO","forb",0.015,0
"2023",33,"NOFE","forb",0.001,0
"2023",33,"RUSA","forb",0.005,0
"2023",33,"SECR","forb",0.01,0
"2023",33,"VAOC","forb",0.02,0
"2023",33,"ELGL","grass",0.12,0
"2023",33,"POPR","grass",0.001,0
"2023",33,"LUAR","legume",0.06,0
"2023",34,"CHAN","forb",0.07,0
"2023",34,"GABI","forb",0.02,0
"2023",34,"HEQU","forb",0.01,0
"2023",34,"HYHO","forb",0.02,0
"2023",34,"MECI","forb",0.06,0
"2023",34,"RUSA","forb",0.02,0
"2023",34,"VECA","forb",0.035,0
"2023",34,"ELGL","grass",0.09,1
"2023",34,"LUAR","legume",0.03,1
"2023",35,"CHAN","forb",0.5,0
"2023",35,"DEBA","forb",0.2,0
"2023",35,"HEMA","forb",0.04,0
"2023",35,"HYHO","forb",0.04,0
"2023",35,"LIPO","forb",0.12,0
"2023",35,"MECI","forb",0.01,0
"2023",35,"VAOC","forb",0.02,0
"2023",35,"BRPU","grass",0.002,0
"2023",35,"ELGL","grass",0.1,0
"2023",35,"LUAR","legume",0.03,0
"2023",36,"CHAN","forb",0.55,1
"2023",36,"DEBA","forb",0.04,1
"2023",36,"GERI","forb",0.03,0
"2023",36,"HEMA","forb",0.1,0
"2023",36,"HYHO","forb",0.03,0
"2023",36,"LIPO","forb",0.12,0
"2023",36,"MECI","forb",0.08,1
"2023",36,"ELGL","grass",0.02,1
"2023",37,"CHAN","forb",0.4,0
"2023",37,"ERCO","forb",0.04,0
"2023",37,"GERI","forb",0.03,0
"2023",37,"HEMA","forb",0.02,0
"2023",37,"HYHO","forb",0.15,1
"2023",37,"SECR","forb",0.015,0
"2023",37,"VAOC","forb",0.04,0
"2023",37,"ELGL","grass",0.08,1
"2023",37,"CAHO","sedge",0.01,0
"2023",38,"CHAN","forb",0.3,0
"2023",38,"DEBA","forb",0.1,0
"2023",38,"ERCO","forb",0.045,0
"2023",38,"HYHO","forb",0.08,0
"2023",38,"LIPO","forb",0.06,0
"2023",38,"MECI","forb",0.03,0
"2023",38,"SECR","forb",0.04,0
"2023",38,"BRPU","grass",0.01,0
"2023",38,"ELGL","grass",0.1,0
"2023",38,"MESP","grass",0.08,0
"2023",38,"LUAR","legume",0.09,0
"2023",39,"CHAN","forb",0.05,0
"2023",39,"EPCI","forb",0.01,0
"2023",39,"GERI","forb",0.15,0
"2023",39,"HEQU","forb",0.04,0
"2023",39,"HEMA","forb",0.04,0
"2023",39,"HYCA","forb",0.04,0
"2023",39,"MECI","forb",0.04,0
"2023",39,"POGR","forb",0.07,0
"2023",39,"BRPU","grass",0.001,0
"2023",39,"ELGL","grass",0.12,0
"2023",39,"MESP","grass",0.1,0
"2023",39,"LUAR","legume",0.04,0
"2023",40,"CHAN","forb",0.01,0
"2023",40,"ERCO","forb",0.01,0
"2023",40,"ERGR","forb",0.001,0
"2023",40,"GABI","forb",0.005,0
"2023",40,"GERI","forb",0.06,1
"2023",40,"HEMA","forb",0.2,0
"2023",40,"HYHO","forb",0.03,0
"2023",40,"MECI","forb",0.09,0
"2023",40,"POGR","forb",0.05,0
"2023",40,"SECR","forb",0.09,0
"2023",40,"ELGL","grass",0.05,1
"2023",40,"LUAR","legume",0.02,1
"2024",1,"ANSE","forb",0.001,0
"2024",1,"BOST","forb",0.005,0
"2024",1,"CHAN","forb",0.03,0
"2024",1,"FRVI","forb",0.005,0
"2024",1,"GERI","forb",0.01,0
"2024",1,"HEQU","forb",0.35,0
"2024",1,"LIPO","forb",0.04,0
"2024",1,"MECI","forb",0.01,0
"2024",1,"POGR","forb",0.03,0
"2024",1,"VAOC","forb",0.04,0
"2024",1,"VINU","forb",0.005,0
"2024",1,"BRPU","grass",0.005,0
"2024",1,"ELGL","grass",0.03,0
"2024",1,"MESP","grass",0.1,0
"2024",1,"LUAR","legume",0.09,0
"2024",2,"ANSE","forb",0.001,0
"2024",2,"AQCO","forb",0.04,1
"2024",2,"BOST","forb",0.02,0
"2024",2,"CHAN","forb",0.02,0
"2024",2,"GERI","forb",0.02,0
"2024",2,"HEQU","forb",0.2,0
"2024",2,"HYHO","forb",0.15,1
"2024",2,"LIPO","forb",0.2,0
"2024",2,"POGR","forb",0.06,0
"2024",2,"ELGL","grass",0.02,0
"2024",2,"MESP","grass",0.07,0
"2024",2,"RIMO","shrub",0.1,0
"2024",3,"AGGL","forb",0.005,0
"2024",3,"ANSE","forb",0.005,0
"2024",3,"AQCO","forb",0.06,0
"2024",3,"BOST","forb",0.002,0
"2024",3,"CHAN","forb",0.03,0
"2024",3,"HEMA","forb",0.06,0
"2024",3,"HEQU","forb",0.18,0
"2024",3,"LIPO","forb",0.1,0
"2024",3,"VAOC","forb",0.015,0
"2024",3,"VINU","forb",0.001,0
"2024",3,"ELGL","grass",0.04,0
"2024",3,"POPR","grass",0.01,0
"2024",3,"LUAR","legume",0.12,0
"2024",4,"ANSE","forb",0.002,0
"2024",4,"BOST","forb",0.01,0
"2024",4,"CHAN","forb",0.05,0
"2024",4,"DEBA","forb",0.01,0
"2024",4,"FRVI","forb",0.01,0
"2024",4,"GERI","forb",0.01,0
"2024",4,"HEMA","forb",0.08,0
"2024",4,"HYHO","forb",0.15,0
"2024",4,"LIPO","forb",0.04,0
"2024",4,"MECI","forb",0.04,0
"2024",4,"SECR","forb",0.07,0
"2024",4,"VAOC","forb",0.08,0
"2024",4,"BRPU","grass",0.02,0
"2024",4,"ELGL","grass",0.04,0
"2024",4,"POPR","grass",0.1,0
"2024",5,"CHAN","forb",0.1,0
"2024",5,"DEBA","forb",0.12,0
"2024",5,"EREL","forb",0.025,0
"2024",5,"FRVI","forb",0.03,0
"2024",5,"HEQU","forb",0.08,0
"2024",5,"HYHO","forb",0.15,0
"2024",5,"LIPO","forb",0.2,0
"2024",5,"MECI","forb",0.02,0
"2024",5,"POGR","forb",0.015,0
"2024",5,"SECR","forb",0.02,0
"2024",5,"VAOC","forb",0.02,0
"2024",5,"BRPU","grass",0.01,0
"2024",5,"ELGL","grass",0.06,0
"2024",5,"MESP","grass",0.12,0
"2024",5,"LUAR","legume",0.03,0
"2024",5,"RIMO","shrub",0.1,0
"2024",6,"ANSE","forb",0.001,0
"2024",6,"AQCO","forb",0.04,0
"2024",6,"BOST","forb",0.001,0
"2024",6,"DEBA","forb",0.015,0
"2024",6,"EREL","forb",0.01,0
"2024",6,"ERSP","forb",0.01,0
"2024",6,"FRVI","forb",0.01,0
"2024",6,"GERI","forb",0.01,1
"2024",6,"HEMA","forb",0.15,0
"2024",6,"HEQU","forb",0.07,0
"2024",6,"HYHO","forb",0.15,1
"2024",6,"LIPO","forb",0.12,1
"2024",6,"POGR","forb",0.01,0
"2024",6,"SECR","forb",0.05,1
"2024",6,"VAOC","forb",0.04,1
"2024",6,"BRPU","grass",0.08,1
"2024",6,"ELGL","grass",0.04,1
"2024",6,"MESP","grass",0.05,0
"2024",6,"RIMO","shrub",0.2,0
"2024",7,"EREL","forb",0.03,0
"2024",7,"HEMA","forb",0.3,0
"2024",7,"HEQU","forb",0.2,0
"2024",7,"HYHO","forb",0.06,0
"2024",7,"LIPO","forb",0.25,0
"2024",7,"MECI","forb",0.003,0
"2024",7,"POGR","forb",0.03,0
"2024",7,"SECR","forb",0.01,0
"2024",7,"VAOC","forb",0.04,0
"2024",7,"ELGL","grass",0.04,0
"2024",7,"MESP","grass",0.05,0
"2024",8,"AGGL","forb",0.01,0
"2024",8,"AQCO","forb",0.02,1
"2024",8,"DEBA","forb",0.01,0
"2024",8,"FRVI","forb",0.08,0
"2024",8,"GEPA","forb",0.02,1
"2024",8,"GERI","forb",0.02,0
"2024",8,"HEMA","forb",0.15,0
"2024",8,"HEQU","forb",0.04,0
"2024",8,"HYHO","forb",0.05,1
"2024",8,"LIPO","forb",0.1,0
"2024",8,"MECI","forb",0.005,0
"2024",8,"POGR","forb",0.04,0
"2024",8,"SECR","forb",0.04,1
"2024",8,"THFE","forb",0.25,1
"2024",8,"BRPU","grass",0.01,1
"2024",8,"ELGL","grass",0.02,0
"2024",8,"MESP","grass",0.03,1
"2024",8,"PHAL","grass",0.04,1
"2024",8,"TRSP","grass",0.01,0
"2024",8,"RIMO","shrub",0.3,1
"2024",9,"CHAN","forb",0.2,0
"2024",9,"DEBA","forb",0.03,0
"2024",9,"EREL","forb",0.08,0
"2024",9,"FRVI","forb",0.01,0
"2024",9,"GERI","forb",0.01,0
"2024",9,"HEMA","forb",0.35,0
"2024",9,"HYHO","forb",0.01,0
"2024",9,"LIPO","forb",0.04,0
"2024",9,"MECI","forb",0.06,1
"2024",9,"MOUN","forb",0.03,0
"2024",9,"POGR","forb",0.01,0
"2024",9,"RUSA","forb",0.07,0
"2024",9,"SECR","forb",0.02,0
"2024",9,"CACA","grass",0.15,0
"2024",9,"ELGL","grass",0.05,1
"2024",10,"ANSE","forb",0.02,0
"2024",10,"CHAN","forb",0.07,0
"2024",10,"DEBA","forb",0.05,0
"2024",10,"DRSP","forb",0.002,0
"2024",10,"EREL","forb",0.1,0
"2024",10,"GABI","forb",0.01,0
"2024",10,"HEMA","forb",0.04,0
"2024",10,"MECI","forb",0.01,0
"2024",10,"RUSA","forb",0.08,0
"2024",10,"SECR","forb",0.02,0
"2024",10,"VINU","forb",0.01,0
"2024",10,"ELGL","grass",0.1,0
"2024",10,"MESP","grass",0.15,0
"2024",11,"AQCO","forb",0.07,0
"2024",11,"CHAN","forb",0.04,0
"2024",11,"DOEN","forb",0.025,0
"2024",11,"EREL","forb",0.01,0
"2024",11,"GERI","forb",0.01,0
"2024",11,"HEMA","forb",0.015,0
"2024",11,"HEQU","forb",0.07,0
"2024",11,"HYHO","forb",0.03,0
"2024",11,"LIPO","forb",0.09,0
"2024",11,"POGR","forb",0.02,0
"2024",11,"SECR","forb",0.01,0
"2024",11,"VAOC","forb",0.1,0
"2024",11,"BRPU","grass",0.025,0
"2024",11,"ELGL","grass",0.04,0
"2024",11,"MESP","grass",0.02,0
"2024",11,"RIMO","shrub",0.25,0
"2024",12,"AQCO","forb",0.015,0
"2024",12,"CHAN","forb",0.04,0
"2024",12,"DEBA","forb",0.05,1
"2024",12,"ERCO","forb",0.005,0
"2024",12,"FRVI","forb",0.02,0
"2024",12,"HEMA","forb",0.06,0
"2024",12,"HEQU","forb",0.2,0
"2024",12,"HYHO","forb",0.03,1
"2024",12,"LIPO","forb",0.04,1
"2024",12,"MECI","forb",0.015,1
"2024",12,"POGR","forb",0.02,0
"2024",12,"SECR","forb",0.03,0
"2024",12,"VAOC","forb",0.01,0
"2024",12,"BRPU","grass",0.001,0
"2024",12,"ELGL","grass",0.04,1
"2024",12,"MESP","grass",0.04,1
"2024",12,"POPR","grass",0.02,0
"2024",12,"LUAR","legume",0.01,0
"2024",12,"RIMO","shrub",0.08,0
"2024",13,"AGGL","forb",0.01,0
"2024",13,"BAVU","forb",0.001,0
"2024",13,"CHAN","forb",0.01,0
"2024",13,"EREL","forb",0.035,1
"2024",13,"HEMA","forb",0.03,0
"2024",13,"HEQU","forb",0.12,0
"2024",13,"HYHO","forb",0.15,0
"2024",13,"LIPO","forb",0.07,0
"2024",13,"POGR","forb",0.035,0
"2024",13,"SECR","forb",0.02,0
"2024",13,"VINU","forb",0.005,1
"2024",13,"ELGL","grass",0.02,1
"2024",13,"MESP","grass",0.05,0
"2024",13,"LUAR","legume",0.1,0
"2024",14,"AQCO","forb",0.02,0
"2024",14,"CHAN","forb",0.07,0
"2024",14,"DEBA","forb",0.02,0
"2024",14,"EREL","forb",0.01,0
"2024",14,"FRVI","forb",0.05,0
"2024",14,"HEQU","forb",0.25,0
"2024",14,"HYHO","forb",0.025,0
"2024",14,"LIPO","forb",0.03,0
"2024",14,"POGR","forb",0.025,0
"2024",14,"SECR","forb",0.03,0
"2024",14,"VAOC","forb",0.04,0
"2024",14,"BRPU","grass",0.005,0
"2024",14,"ELGL","grass",0.04,0
"2024",14,"MESP","grass",0.15,0
"2024",15,"AGGL","forb",0.005,0
"2024",15,"BOST","forb",0.001,1
"2024",15,"CHAN","forb",0.08,0
"2024",15,"EREL","forb",0.035,1
"2024",15,"FRVI","forb",0.01,0
"2024",15,"GERI","forb",0.01,0
"2024",15,"HEQU","forb",0.15,1
"2024",15,"HYHO","forb",0.01,0
"2024",15,"LIPO","forb",0.01,0
"2024",15,"POGR","forb",0.035,1
"2024",15,"SECR","forb",0.1,0
"2024",15,"ELGL","grass",0.03,1
"2024",15,"MESP","grass",0.1,1
"2024",15,"LUAR","legume",0.2,1
"2024",16,"AGGL","forb",0.01,0
"2024",16,"CHAN","forb",0.2,0
"2024",16,"DEBA","forb",0.03,0
"2024",16,"EREL","forb",0.04,0
"2024",16,"HEQU","forb",0.25,0
"2024",16,"HYHO","forb",0.015,0
"2024",16,"POGR","forb",0.02,0
"2024",16,"SECR","forb",0.06,0
"2024",16,"ELGL","grass",0.01,0
"2024",16,"MESP","grass",0.12,0
"2024",17,"ANSE","forb",0.005,0
"2024",17,"BAVU","forb",0.005,0
"2024",17,"CHAN","forb",0.12,0
"2024",17,"DEBA","forb",0.04,1
"2024",17,"EREL","forb",0.01,0
"2024",17,"FRVI","forb",0.02,1
"2024",17,"HEMA","forb",0.015,0
"2024",17,"HYHO","forb",0.15,0
"2024",17,"LIPO","forb",0.2,1
"2024",17,"MECI","forb",0.02,0
"2024",17,"RUSA","forb",0.01,0
"2024",17,"SECR","forb",0.015,1
"2024",17,"ELGL","grass",0.02,1
"2024",17,"MESP","grass",0.01,1
"2024",17,"LUAR","legume",0.15,1
"2024",18,"ANSE","forb",0.001,0
"2024",18,"CHAN","forb",0.15,0
"2024",18,"EREL","forb",0.01,0
"2024",18,"ERGR","forb",0.003,0
"2024",18,"FRVI","forb",0.04,0
"2024",18,"GERI","forb",0.005,0
"2024",18,"HEMA","forb",0.08,0
"2024",18,"HYHO","forb",0.05,0
"2024",18,"LIPO","forb",0.08,0
"2024",18,"MECI","forb",0.02,0
"2024",18,"SECR","forb",0.015,0
"2024",18,"ELGL","grass",0.01,0
"2024",18,"MESP","grass",0.07,0
"2024",18,"LUAR","legume",0.015,0
"2024",19,"AGGL","forb",0.02,0
"2024",19,"CHAN","forb",0.07,0
"2024",19,"ERCO","forb",0.002,0
"2024",19,"GERI","forb",0.03,1
"2024",19,"HEQU","forb",0.1,0
"2024",19,"HYHO","forb",0.08,1
