"year","plot","code","functional_group","percent_cover","nearest_neighbor"
"Pre",10,"CHAN","forb",0.01,0
"Pre",10,"ELGL","grass",0.08,1
"Pre",10,"ERCO","forb",0.05,0
"Pre",10,"GABI","forb",0.01,0
"Pre",10,"GERI","forb",0.08,1
"Pre",10,"HEQU","forb",0.02,0
"Pre",10,"MECI","forb",0.005,0
"Pre",10,"NOFE","forb",0.001,0
"Pre",10,"POPR","grass",0.05,0
"Pre",10,"RUSA","forb",0.02,0
"Pre",11,"AQCO","forb",0.07,0
"Pre",11,"BAVU","forb",0.01,0
"Pre",11,"CHAN","forb",0.03,0
"Pre",11,"ELGL","grass",0.08,1
"Pre",11,"ERCO","forb",0.01,0
"Pre",11,"ERCO","forb",0.01,0
"Pre",11,"HEQU","forb",0.08,1
"Pre",11,"HEMA","forb",0.02,0
"Pre",11,"HYCA","forb",0.01,1
"Pre",11,"HYHO","forb",0.05,0
"Pre",11,"LIPO","forb",0.1,0
"Pre",11,"LUAR","legume",0.015,0
"Pre",11,"MESP","grass",0.005,0
"Pre",11,"MECI","forb",0.06,0
"Pre",11,"POGR","forb",0.02,0
"Pre",11,"RIMO","shrub",0.35,0
"Pre",11,"SECR","forb",0.01,0
"Pre",11,"VAOC","forb",0.02,1
"Pre",12,"ANSE","forb",0.001,0
"Pre",12,"CHAN","forb",0.02,0
"Pre",12,"DEBA","forb",0.06,1
"Pre",12,"ELGL","grass",0.07,1
"Pre",12,"ERGR","forb",0.01,1
"Pre",12,"FRVI","forb",0.02,0
"Pre",12,"GERI","forb",0.022,0
"Pre",12,"HEQU","forb",0.12,1
"Pre",12,"HEMA","forb",0.03,0
"Pre",12,"HYHO","forb",0.06,1
"Pre",12,"LIPO","forb",0.03,0
"Pre",12,"MESP","grass",0.05,0
"Pre",12,"POGR","forb",0.005,0
"Pre",12,"RAIN","forb",0.001,0
"Pre",12,"RIMO","shrub",0.08,0
"Pre",12,"SECR","forb",0.02,0
"Pre",13,"ANSE","forb",0.003,0
"Pre",13,"ELGL","grass",0.04,1
"Pre",13,"ERCO","forb",0.01,0
"Pre",13,"ERGR","forb",0.015,0
"Pre",13,"HEQU","forb",0.06,0
"Pre",13,"HEMA","forb",0.05,0
"Pre",13,"HYHO","forb",0.06,1
"Pre",13,"LIPO","forb",0.03,0
"Pre",13,"LUAR","legume",0.05,0
"Pre",13,"MESP","grass",0.06,0
"Pre",13,"POGR","forb",0.02,0
"Pre",13,"SECR","forb",0.02,0
"Pre",13,"VINU","forb",0.01,0
"Pre",14,"ANSE","forb",0.005,0
"Pre",14,"AQCO","forb",0.02,0
"Pre",14,"BAVU","forb",0.001,0
"Pre",14,"CHAN","forb",0.05,0
"Pre",14,"DEBA","forb",0.01,1
"Pre",14,"ELGL","grass",0.05,0
"Pre",14,"ERCO","forb",0.01,0
"Pre",14,"ERGR","forb",0.01,0
"Pre",14,"FRVI","forb",0.02,0
"Pre",14,"HEQU","forb",0.15,1
"Pre",14,"HYHO","forb",0.01,0
"Pre",14,"LIPO","forb",0.04,0
"Pre",14,"MESP","grass",0.02,0
"Pre",14,"RAIN","forb",0.001,0
"Pre",14,"SECR","forb",0.02,0
"Pre",14,"VAOC","forb",0.015,0
"Pre",14,"VINU","forb",0.01,1
"Pre",15,"ANSE","forb",0.005,0
"Pre",15,"BAVU","forb",0.01,0
"Pre",15,"CHAN","forb",0.05,1
"Pre",15,"ELGL","grass",0.07,1
"Pre",15,"ERCO","forb",0.01,0
"Pre",15,"FRVI","forb",0.002,0
"Pre",15,"HEQU","forb",0.1,1
"Pre",15,"HEMA","forb",0.02,0
"Pre",15,"HYCA","forb",0.001,0
"Pre",15,"HYHO","forb",0.01,0
"Pre",15,"LIPO","forb",0.01,0
"Pre",15,"LUAR","legume",0.06,0
"Pre",15,"MESP","grass",0.05,0
"Pre",15,"POGR","forb",0.02,1
"Pre",15,"SECR","forb",0.08,0
"Pre",16,"ANSE","forb",0.001,0
"Pre",16,"CHAN","forb",0.08,0
"Pre",16,"DEBA","forb",0.04,1
"Pre",16,"ELGL","grass",0.01,0
"Pre",16,"ERCO","forb",0.015,0
"Pre",16,"ERGR","forb",0.03,0
"Pre",16,"HEQU","forb",0.12,1
"Pre",16,"HYHO","forb",0.005,0
"Pre",16,"MESP","grass",0.1,1
"Pre",16,"POGR","forb",0.005,0
"Pre",16,"SECR","forb",0.06,0
"Pre",16,"VAOC","forb",0.01,0
"Pre",17,"ANSE","forb",0.02,1
"Pre",17,"BAVU","forb",0.005,0
"Pre",17,"CHAN","forb",0.12,0
"Pre",17,"DEBA","forb",0.06,1
"Pre",17,"ELGL","grass",0.06,1
"Pre",17,"ERCO","forb",0.005,0
"Pre",17,"FRVI","forb",0.001,0
"Pre",17,"GERI","forb",0.001,0
"Pre",17,"HEQU","forb",0.005,1
"Pre",17,"HEMA","forb",0.01,0
"Pre",17,"HYHO","forb",0.05,1
"Pre",17,"LIPO","forb",0.1,0
"Pre",17,"SECR","forb",0.03,0
"Pre",18,"ANSE","forb",0.03,1
"Pre",18,"CHAN","forb",0.12,1
"Pre",18,"ELGL","grass",0.02,1
"Pre",18,"ERCO","forb",0.01,1
"Pre",18,"ERGR","forb",0.02,0
"Pre",18,"FRVI","forb",0.02,0
"Pre",18,"HEMA","forb",0.07,0
"Pre",18,"HYHO","forb",0.05,0
"Pre",18,"LIPO","forb",0.05,0
"Pre",18,"MESP","grass",0.04,0
"Pre",18,"MECI","forb",0.01,0
"Pre",18,"SECR","forb",0.01,0
"Pre",19,"ANSE","forb",0.001,0
"Pre",19,"BAVU","forb",0.01,0
"Pre",19,"CHAN","forb",0.15,1
"Pre",19,"DEBA","forb",0.05,0
"Pre",19,"ELGL","grass",0.03,1
"Pre",19,"ERGR","forb",0.01,0
"Pre",19,"GERI","forb",0.01,0
"Pre",19,"HYHO","forb",0.12,0
"Pre",19,"LUAR","legume",0.03,1
"Pre",19,"MESP","grass",0.002,0
"Pre",19,"POGR","forb",0.02,0
"Pre",19,"RHIN","forb",0.04,0
"Pre",19,"SECR","forb",0.02,1
"Pre",20,"ANSE","forb",0.005,0
"Pre",20,"AQCO","forb",0.04,0
"Pre",20,"CHAN","forb",0.03,0
"Pre",20,"DEBA","forb",0.01,1
"Pre",20,"ELGL","grass",0.03,1
