site,year,burial,field_plot,pair,plot,block,litter,removal,elevation,NO3,NH4,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
Emerald Lake ,2024,within,15A,15,29,1,Castilleja,C,3216.514942,26,4,569,78,176,6.1,6.7,1.6,,0.8,0.6,9.4,,12.1,
Emerald Lake ,2024,within,15B,15,30,1,Castilleja,R,3218.547977,43,3,1004,126,309,7,5.6,2.5,,1.6,0.2,7.9,,8.9,
Emerald Lake ,2024,within,16A,16,31,2,Control,C,3216.43204,12,,1092,105,78,7.4,7.7,2.6,,1.16,0.9,7.5,,15.3,
Emerald Lake ,2024,within,16B,16,32,2,Control,R,3215.721708,41,,711,85,101,6.7,6.5,1.9,,1.1,0.5,8.1,,10.5,
Emerald Lake ,2024,within,17A,17,33,4,Community,R,3210.958403,47,5,1363,143,150,4.3,7.1,1.8,,1.17,0.7,7.2,,11.4,
Emerald Lake ,2024,within,17B,17,34,4,Community,C,3214.838866,51,,1526,159,129,6.5,7.2,1,,1.19,0.3,7.7,,8.6,
Emerald Lake ,2024,within,18A,18,35,5,Community,C,3208.328564,53,,2085,179,330,8,6.4,1.6,,1.33,0.3,7.6,0.30,11.1,
Emerald Lake ,2024,within,18B,18,36,5,Community,R,3208.763818,68,,2167,172,133,14.9,8.3,3,0.29,3.53,0.8,18.9,0.59,9.6,
Emerald Lake ,2024,within,19A,19,37,5,Castilleja,C,3208.841651,153,,2381,289,126,16,9.7,2.3,0.26,2.77,0.7,24.8,0.60,10.1,
Emerald Lake ,2024,within,19B,19,38,5,Castilleja,R,3208.213374,65,,2414,203,249,17.5,7,2.2,,3.8,0.6,13.7,,10.2,
Emerald Lake ,2024,within,20A,20,39,4,Mixed,C,3210.320734,33,3,2071,85,102,9.5,8.8,3.5,0.62,1.52,0.4,13.5,1.51,10.3,
Emerald Lake ,2024,within,20B,20,40,4,Mixed,R,3213.273701,47,,1925,175,91,14.3,9.3,1.6,,2.08,0.8,9.4,,11.8,
Emerald Lake ,2024,overwinter,1A,1,1,1,Mixed,C,3214.529385,198,6,2198,154,65,30,19,6,0.8,4.0,,38,3.2,11,
Emerald Lake ,2024,overwinter,1B,1,2,1,Mixed,R,3214.303061,160,4,2984,189,59,30,12,4,0.8,3.9,1.8,28,2.3,18,0.2
Emerald Lake ,2024,overwinter,2A,2,3,2,Castilleja,C,3214.132079,424,3,3032,237,106,19,126,10,4.3,8.6,,39,11.6,16,0.8
Emerald Lake ,2024,overwinter,2B,2,4,2,Castilleja,R,3214.686752,348,4,2753,237,65,16,86,12,3.2,7.9,,84,7.5,18,0.3
Emerald Lake ,2024,overwinter,3A,3,5,2,Community,R,3213.215425,55,4,2996,246,76,34,9,3,1.6,7.6,0.4,49,3.0,13,0.3
Emerald Lake ,2024,overwinter,3B,3,6,2,Community,C,3213.489248,35,4,2736,154,114,22,5,2,1.3,2.3,1.5,28,0.3,15,0.6
