year,deployment_period,plot,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2024,Overwinter,27,5,C,No,8/16/23,6/30/24,319,Community,C,1.6,2.94,5,1.34,3.66
2024,Overwinter,28,3,A,No,8/16/23,6/30/24,319,Community,R,1.56,2.78,5,1.22,3.78
2024,Overwinter,28,7,B,No,8/16/23,6/30/24,319,Community,R,1.57,3.33,5,1.76,3.24
2024,Overwinter,28,9,C,No,8/16/23,6/30/24,319,Community,R,1.54,3.04,5,1.5,3.5
2024,Overwinter,29,1,A,No,8/16/23,6/30/24,319,Castilleja,C,1.56,3.06,5,1.5,3.5
2024,Overwinter,29,4,B,No,8/16/23,6/30/24,319,Castilleja,C,1.56,3.56,5,2,3
2024,Overwinter,29,7,C,No,8/16/23,6/30/24,319,Castilleja,C,1.54,2.95,5,1.41,3.59
2024,Overwinter,30,2,A,No,8/16/23,6/30/24,319,Castilleja,R,1.56,3.2,5,1.64,3.36
2024,Overwinter,30,3,B,No,8/16/23,6/30/24,319,Castilleja,R,1.55,3.95,5,2.4,2.6
2024,Overwinter,30,8,C,Yes,8/16/23,6/30/24,319,Castilleja,R,1.55,,,,
2024,Overwinter,33,2,A,No,8/16/23,6/30/24,319,Community,R,1.54,6.36,5,4.82,0.18
2024,Overwinter,33,4,B,No,8/16/23,6/30/24,319,Community,R,1.52,3.97,5,2.45,2.55
2024,Overwinter,33,5,C,No,8/16/23,6/30/24,319,Community,R,1.55,3.87,5,2.32,2.68
2024,Overwinter,34,2,A,No,8/16/23,6/30/24,319,Community,C,1.55,3.18,5,1.63,3.37
2024,Overwinter,34,5,B,Yes,8/16/23,6/30/24,319,Community,C,1.54,,,,
2024,Overwinter,34,6,C,No,8/16/23,6/30/24,319,Community,C,1.54,3.12,5,1.58,3.42
2024,Overwinter,35,1,A,No,8/16/23,6/30/24,319,Community,C,1.56,3.48,5,1.92,3.08
2024,Overwinter,35,2,B,No,8/16/23,6/30/24,319,Community,C,1.53,3.42,5,1.89,3.11
2024,Overwinter,35,8,C,No,8/16/23,6/30/24,319,Community,C,1.56,3.32,5,1.76,3.24
2024,Overwinter,36,2,A,No,8/16/23,6/30/24,319,Community,R,1.53,2.91,5,1.38,3.62
2024,Overwinter,36,6,B,No,8/16/23,6/30/24,319,Community,R,1.56,3.31,5,1.75,3.25
2024,Overwinter,36,8,C,No,8/16/23,6/30/24,319,Community,R,1.58,3.74,5,2.16,2.84
2024,Overwinter,37,4,A,Yes,8/16/23,6/30/24,319,Castilleja,C,1.57,,5,,
2024,Overwinter,37,7,B,No,8/16/23,6/30/24,319,Castilleja,C,1.58,2.79,5,1.21,3.79
2024,Overwinter,37,9,C,No,8/16/23,6/30/24,319,Castilleja,C,1.58,6.15,5,4.57,0.43
2024,Overwinter,38,1,A,Yes,8/16/23,6/30/24,319,Castilleja,R,1.57,,,,
2024,Overwinter,38,7,B,Yes,8/16/23,6/30/24,319,Castilleja,R,1.57,,,,
2024,Overwinter,38,8,C,No,8/16/23,6/30/24,319,Castilleja,R,1.58,3,5,1.42,3.58
2024,Overwinter,39,1,A,No,8/16/23,6/30/24,319,Mixed,R,1.58,3.31,5,1.73,3.27
2024,Overwinter,39,5,B,Yes,8/16/23,6/30/24,319,Mixed,R,1.56,,,,
2024,Overwinter,39,8,C,Yes,8/16/23,6/30/24,319,Mixed,R,1.55,,,,
2024,Overwinter,40,1,A,Yes,8/16/23,6/30/24,319,Mixed,C,1.59,,,,
2024,Overwinter,40,7,B,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.41,5,1.83,3.17
2024,Overwinter,40,9,C,No,8/16/23,6/30/24,319,Mixed,C,1.56,3.74,5,2.18,2.82
