"","Site","Plot","Treatment","div","even","rich"
"1","Avery",1,"Castilleja",1.75622653658528,0.844566438336397,8
"2","Avery",2,"Control",1.58405176045945,0.814041573927997,7
"3","Avery",3,"Castilleja",1.5750886204416,0.879073696828401,6
"4","Avery",4,"Control",1.44636550875476,0.80723196031323,6
"5","Avery",5,"Castilleja",1.61100131561697,0.89911695363387,6
"6","Avery",6,"Control",1.47135991583092,0.756129421774806,7
"7","Avery",7,"Castilleja",1.71505145652869,0.824765410401109,8
"8","Avery",8,"Control",1.55121336503388,0.963823054651324,5
"9","Avery",9,"Castilleja",1.20378842557185,0.671847112431045,6
"10","Avery",10,"Control",1.03925170330881,0.749661639299517,4
"11","Avery",11,"Castilleja",1.60204747741073,0.823289543039014,7
"12","Avery",12,"Control",1.5293391180588,0.853540413389129,6
"13","Avery",13,"Castilleja",1.66763130578846,0.856992963728592,7
"14","Avery",14,"Control",1.83484974479786,0.942926242349181,7
"15","Avery",15,"Castilleja",1.62270220408056,0.780354807555538,8
"16","Avery",16,"Control",1.15727508345053,0.834797511919221,4
"17","Avery",17,"Castilleja",1.45524210681669,0.747846506439763,7
"18","Avery",18,"Control",1.56359012495089,0.803526373357972,7
"19","Avery",19,"Castilleja",2.15459425495,0.935728395665234,10
"20","Avery",20,"Control",1.63742204806482,0.913862645174285,6
"21","Avery",21,"Castilleja",1.81657754427121,0.933536188787089,7
"22","Avery",22,"Control",1.53539788466739,0.789038427808595,7
"23","Avery",23,"Castilleja",1.65123937791315,0.794078287278625,8
"24","Avery",24,"Control",1.41518982742204,0.727263706450721,7
"25","Avery",25,"Castilleja",1.61432467387133,0.776326067126288,8
"26","Avery",26,"Control",1.69900745323772,0.817049875739817,8
"27","Avery",27,"Castilleja",1.91453363945794,0.87134180966563,9
"28","Avery",28,"Control",1.2730996187006,0.791021268273202,5
"29","Avery",29,"Castilleja",1.98262441907285,0.902331258954178,9
"30","Avery",30,"Control",1.39573741457557,0.77897588294979,6
"31","Avery",31,"Castilleja",1.70810169924231,0.821423283610296,8
"32","Avery",32,"Control",1.28260649332321,0.79692822159471,5
"33","Avery",33,"Castilleja",1.70343819954773,0.775268134681471,9
"34","Avery",34,"Control",1.62183066294799,0.833456089293408,7
"35","Avery",35,"Castilleja",1.28634964400928,0.717925405781995,6
"36","Avery",36,"Control",1.6546984846522,0.850346808384503,7
"37","Avery",37,"Castilleja",1.65716458296402,0.851614132219067,7
"38","Avery",38,"Control",1.54981277285642,0.864966977696022,6
"39","Avery",39,"Castilleja",1.10245836866107,0.615293730880094,6
"40","Avery",40,"Control",1.13474741096294,0.705058208332349,5
"41","Emerald Lake",41,"Castilleja",1.90393975611195,0.915601481431351,8
"42","Emerald Lake",42,"Control",1.99049817389147,0.864462373159566,10
"43","Emerald Lake",43,"Castilleja",2.40951047364204,0.939398848804825,13
"44","Emerald Lake",44,"Control",2.07465494033163,0.834902566866497,12
"45","Emerald Lake",45,"Castilleja",2.12895078610095,0.856752822599023,12
"46","Emerald Lake",46,"Control",2.21950366614376,0.893193982290287,12
"47","Emerald Lake",47,"Castilleja",2.17056484775129,0.873499552965691,12
"48","Emerald Lake",48,"Control",2.01978258921169,0.8771804331389,10
"49","Emerald Lake",49,"Castilleja",2.05037389201923,0.855072327502618,11
"50","Emerald Lake",50,"Control",2.12359812015555,0.885609202472503,11
"51","Emerald Lake",51,"Castilleja",2.43820983582631,0.923894228619039,14
"52","Emerald Lake",52,"Control",2.06247980077536,0.860120883581551,11
"53","Emerald Lake",53,"Castilleja",2.17370202881268,0.906504155319488,11
"54","Emerald Lake",54,"Control",1.67367062333116,0.761720326904506,9
"55","Emerald Lake",55,"Castilleja",2.20638361958054,0.860205529267893,13
"56","Emerald Lake",56,"Control",1.88553594063451,0.858144388190132,9
"57","Emerald Lake",57,"Castilleja",2.20153986792975,0.918113435938563,11
"58","Emerald Lake",58,"Control",1.8470607955162,0.888248483303884,8
"59","Emerald Lake",59,"Castilleja",1.9711463277438,0.897107354466924,9
"60","Emerald Lake",60,"Control",1.48859750013946,0.764987787777421,7
"61","Emerald Lake",61,"Castilleja",1.8521686884207,0.890704860558119,8
"62","Emerald Lake",62,"Control",1.55627017681279,0.799764664143574,7
"63","Emerald Lake",63,"Castilleja",1.76135664850082,0.90515826198651,7
"64","Emerald Lake",64,"Control",1.4127537333486,0.877793248458997,5
"65","Emerald Lake",65,"Castilleja",2.17202985921612,0.905806806433769,11
"66","Emerald Lake",66,"Control",2.08940858991682,0.907418621042131,10
"67","Emerald Lake",67,"Castilleja",2.45722183468098,0.907376766383749,15
"68","Emerald Lake",68,"Control",2.10647809085329,0.91483181110768,10
"69","Emerald Lake",69,"Castilleja",2.39531437175185,0.933864196883181,13
"70","Emerald Lake",70,"Control",1.86472347915496,0.848672228769457,9
"71","Emerald Lake",71,"Castilleja",2.05195819752084,0.933886421390986,9
"72","Emerald Lake",72,"Control",1.83754145333748,0.836301155690331,9
"73","Emerald Lake",73,"Castilleja",1.95001774327462,0.846881945517598,10
"74","Emerald Lake",74,"Control",1.60978663974278,0.827266685732787,7
"75","Emerald Lake",75,"Castilleja",1.85908740143994,0.846107139259195,9
"76","Emerald Lake",76,"Control",1.50675983425849,0.93620252301605,5
"77","Emerald Lake",77,"Castilleja",2.33052329558708,0.937871567845781,12
"78","Emerald Lake",78,"Control",2.07724746286399,0.90213711066936,10
"79","Emerald Lake",79,"Castilleja",2.17175914351263,0.905693909216546,11
"80","Emerald Lake",80,"Control",1.81414849567356,0.872421012714806,8
