Site,species,Plot,Pair,Castilleja,div,even,rich
Deer Creek 1,Castilleja linarifolia,1,41,Present,0.594390887,0.285841595,8
Deer Creek 1,Castilleja linarifolia,2,41,Absent,0.266625924,0.165664001,5
Deer Creek 1,Castilleja linarifolia,3,42,Present,1.322246661,0.601780389,9
Deer Creek 1,Castilleja linarifolia,4,42,Absent,1.293516868,0.721925509,6
Deer Creek 1,Castilleja linarifolia,5,43,Present,1.603541851,0.696409377,10
Deer Creek 1,Castilleja linarifolia,6,43,Absent,0.59978332,0.334745444,6
Deer Creek 1,Castilleja linarifolia,7,44,Present,1.005827133,0.624955536,5
Deer Creek 1,Castilleja linarifolia,8,44,Absent,1.213007566,0.676992413,6
Deer Creek 1,Castilleja linarifolia,9,45,Present,1.190068428,0.664189836,6
Deer Creek 1,Castilleja linarifolia,10,45,Absent,1.111052301,0.801454822,4
Deer Creek 1,Castilleja linarifolia,11,46,Present,1.494524066,0.718714153,8
Deer Creek 1,Castilleja linarifolia,12,46,Absent,0.927343479,0.5761909,5
Deer Creek 1,Castilleja linarifolia,13,47,Present,1.140905462,0.636751462,6
Deer Creek 1,Castilleja linarifolia,14,47,Absent,1.18741577,0.662709359,6
Deer Creek 1,Castilleja linarifolia,15,48,Present,1.288554846,0.719156153,6
Deer Creek 1,Castilleja linarifolia,16,48,Absent,1.446609584,0.898829071,5
Deer Creek 1,Castilleja linarifolia,17,49,Present,2.052029915,0.891185269,10
Deer Creek 1,Castilleja linarifolia,18,49,Absent,1.442618455,0.656563954,9
Deer Creek 1,Castilleja linarifolia,19,50,Present,1.697402257,0.737172434,10
Deer Creek 1,Castilleja linarifolia,20,50,Absent,1.629521366,0.741627134,9
Deer Creek 1,Castilleja linarifolia,21,51,Present,1.426133741,0.886106715,5
Deer Creek 1,Castilleja linarifolia,22,51,Absent,1.555751192,0.748158177,8
Deer Creek 1,Castilleja linarifolia,23,52,Present,1.798410033,0.781039553,10
Deer Creek 1,Castilleja linarifolia,24,52,Absent,1.580818536,0.812380025,7
Deer Creek 1,Castilleja linarifolia,25,53,Present,1.505772603,0.724123556,8
Deer Creek 1,Castilleja linarifolia,26,53,Absent,1.265530292,0.650353919,7
Deer Creek 1,Castilleja linarifolia,27,54,Present,1.242314934,0.693349166,6
Deer Creek 1,Castilleja linarifolia,28,54,Absent,1.366425495,0.702203797,7
Deer Creek 1,Castilleja linarifolia,29,55,Present,1.072016969,0.773296782,4
Deer Creek 1,Castilleja linarifolia,30,55,Absent,1.136916592,0.706405996,5
Deer Creek 1,Castilleja linarifolia,31,56,Present,0.98882525,0.55187388,6
Deer Creek 1,Castilleja linarifolia,32,56,Absent,0.817412316,0.420066834,7
Deer Creek 1,Castilleja linarifolia,33,57,Present,1.096173996,0.611786356,6
Deer Creek 1,Castilleja linarifolia,34,57,Absent,0,0,3
Deer Creek 1,Castilleja linarifolia,35,58,Present,1.228942062,0.685885624,6
Deer Creek 1,Castilleja linarifolia,36,58,Absent,0.773188696,0.557737749,4
Deer Creek 1,Castilleja linarifolia,37,59,Present,0.725625433,0.348952071,8
Deer Creek 1,Castilleja linarifolia,38,59,Absent,1.170158073,0.653077655,6
Deer Creek 1,Castilleja linarifolia,39,60,Present,1.049369467,0.539269229,7
Deer Creek 1,Castilleja linarifolia,40,60,Absent,1.256880629,0.701478436,6
